"","name","micro","type"
"396","Fish, raw, mixed species, eel",528.558,"Fish"
"397","Fish, whole (Alaska Native), blackfish",527.6,"Fish"
"398","Fish, raw, striped, bass",509.886,"Fish"
"399","Fish, raw, tilapia",509.672,"Fish"
"400","Fish, drained solids, canned in water, white, tuna",502.028,"Fish"
"401","Fish, drained solids, without salt, canned in water, white, tuna",502.028,"Fish"
"402","Fish, raw, mixed species, sea bass",501.324,"Fish"
"403","Fish, smoked, cisco",486.726,"Fish"
"404","Fish, raw, Atlantic, ocean perch",486.252,"Fish"
"405","Fish, raw (may have been previously frozen), Alaska, pollock",475.262,"Fish"
"406","Fish, raw, Greenland, halibut",461.702,"Fish"
"407","Fish, raw, mixed species, shark",453.888,"Fish"
"408","Fish, raw, flatfish (flounder and sole species)",451.213,"Fish"
"409","Fish, surimi",446.303,"Fish"
"410","Fish, batter-dipped and fried, cooked, mixed species, shark",443.202,"Fish"
"411","Fish, liver (Alaska Native), chinook, king, salmon",442.6,"Fish"
"412","Fish, liver (Alaska Native), northern, pike",442.1,"Fish"
"413","Fish, drained solids, without salt, canned in water, light, tuna",439.592,"Fish"
"414","Fish, dry heat, cooked, Atlantic, cod",438.546,"Fish"
"415","Fish, raw, european, turbot",436.414,"Fish"
"416","Fish, raw (Alaska Native), meat, lingcod",433,"Fish"
"417","Fish, prepared, frozen, fish sticks",418.081,"Fish"
"418","Fish, tuna salad",393.185,"Fish"
"419","Fish, regular, (lox), smoked, chinook, salmon",369.097,"Fish"
"420","Fish, smoked, chinook, salmon",369.097,"Fish"
"421","Fish, drained solids, canned in water, light, tuna",359.699,"Fish"
"422","Fish, liver (Alaska Native), broad, whitefish",358.6,"Fish"
"423","Fish, dry heat, cooked, orange, roughy",313.242,"Fish"
"424","Fish, raw, orange, roughy",301.135,"Fish"
"425","Fish, pickled, Atlantic, herring",244.365,"Fish"
"426","Fish, sweet recipe, commercial, gefiltefish",198.748,"Fish"
"427","Fish, Pacific (Alaska Native), herring eggs on giant kelp",164.4,"Fish"
"428","Fish, liver (Alaska Native), lingcod",129,"Fish"
"429","Fish, smoked and canned (Alaska Native), chinook, king, salmon",61.8,"Fish"
"430","Fish, fermented (Alaska Native), tipnuk, salmon",46,"Fish"
"431","Fish, canned (Alaska Native), kippered, chinook, king, salmon",39.7,"Fish"
"432","Fish, plain (Alaska Native), Pacific, herring eggs",21.7,"Fish"
"433","Fish, meat (Alaska Native), devilfish",15.4,"Fish"
"434","Fish, cheeks and soft bones (Alaska Native), eyes, head, broad, whitefish",0,"Fish"
"435","Fish, cooked (not previously frozen), Alaska, pollock",0,"Fish"
"436","Fish, cooked (not previously frozen), Pacific, cod",0,"Fish"
"437","Fish, raw (not previously frozen), Alaska, pollock",0,"Fish"
"438","Fish, raw (not previously frozen), Pacific, cod",0,"Fish"
"439","Apples, uncooked, sulfured, dehydrated (low moisture)",738.399,"Fruit"
"440","Apples, uncooked, sulfured, dried",519.681,"Fruit"
"441","Kiwifruit, raw, green",397.538,"Fruit"
"442","Kiwifruit, raw, ZESPRI SunGold",369.409,"Fruit"
"443","Pomegranates, raw",294.577,"Fruit"
"444","Grapes, raw, muscadine",280.352,"Fruit"
"445","Grapes, raw, red or green (European type, such as Thompson seedless)",228.558,"Fruit"
"446","Grapes, raw, american type (slip skin)",221.048,"Fruit"
"447","Grapefruit, solids and liquids, juice pack, canned, sections",207.254,"Fruit"
"448","Grapefruit, all areas, pink and red, raw",184.134,"Fruit"
"449","Grapefruit, Florida, white, raw",181.117,"Fruit"
"450","Grapefruit, California and Arizona, pink and red, raw",179.132,"Fruit"
"451","Grapefruit, all areas, white, raw",177.123,"Fruit"
"452","Grapefruit, California, white, raw",176.132,"Fruit"
"453","Grapefruit, solids and liquids, water pack, canned, sections",167.484,"Fruit"
"454","Grapefruit, all areas, pink and red and white, raw",167.149,"Fruit"
"455","Grapefruit, solids and liquids, light syrup pack, canned, sections",163.473,"Fruit"
"456","Grapefruit, Florida, pink and red, raw",159.174,"Fruit"
"457","Apples, stewed, sulfured, dehydrated (low moisture)",157.515,"Fruit"
"458","Apples, with skin, granny smith, raw",142.225,"Fruit"
"459","Grapes, solids and liquids, water pack, thompson seedless, canned",142.075,"Fruit"
"460","Grapes, solids and liquids, heavy syrup pack, thompson seedless, canned",137.032,"Fruit"
"461","Apples, with skin, fuji, raw",134.156,"Fruit"
"462","Apples, with skin, gala, raw",131.178,"Fruit"
"463","Apples, with skin, raw",129.182,"Fruit"
"464","Apples, with skin, red delicious, raw",127.171,"Fruit"
"465","Apples, without added sugar, stewed, sulfured, dried",121.395,"Fruit"
"466","Apples, with skin, golden delicious, raw",121.195,"Fruit"
"467","Apples, with added sugar, stewed, sulfured, dried",112.372,"Fruit"
"468","Apples, without skin, raw",110.139,"Fruit"
"469","Apples, microwave, cooked, without skin, raw",109.358,"Fruit"
"470","Apples, boiled, cooked, without skin, raw",104.343,"Fruit"
"471","Apples, unheated, unsweetened, frozen",92.407,"Fruit"
"472","Apples, heated, unsweetened, frozen",92.401,"Fruit"
"473","Apples, heated, drained, sliced, sweetened, canned",83.456,"Fruit"
"474","Apples, unheated, drained, sliced, sweetened, canned",79.436,"Fruit"
"475","Radishes, dried, oriental",4505.9,"Vegetables"
"476","Carrot, dehydrated",3221.416,"Vegetables"
"477","Cabbage, pickled, fresh, japanese style",956.753,"Vegetables"
"478","Arugula, raw",629.857,"Vegetables"
"479","Avocados, California, raw",603.929,"Vegetables"
"480","Avocados, all commercial varieties, raw",578.882,"Vegetables"
"481","Brussels sprouts, raw",524.807,"Vegetables"
"482","Cabbage, with salt, drained, boiled, cooked, chinese (pak-choi)",505.203,"Vegetables"
"483","Cabbage, without salt, drained, boiled, cooked, chinese (pak-choi)",505.203,"Vegetables"
"484","Brussels sprouts, unprepared, frozen",479.274,"Vegetables"
"485","Broccoli, raw, flower clusters",465.154,"Vegetables"
"486","Broccoli, raw, leaves",465.154,"Vegetables"
"487","Broccoli, raw, stalks",465.154,"Vegetables"
"488","Broccoli, raw",450.989,"Vegetables"
"489","Broccoli, raw, chinese",441.654,"Vegetables"
"490","Brussels sprouts, with salt, drained, boiled, cooked",430.51,"Vegetables"
"491","Brussels sprouts, without salt, drained, boiled, cooked",430.51,"Vegetables"
"492","Avocados, Florida, raw",425.576,"Vegetables"
"493","Broccoli, with salt, drained, boiled, cooked",421.925,"Vegetables"
"494","Broccoli, without salt, drained, boiled, cooked",421.925,"Vegetables"
"495","Broccoli, cooked, chinese",420.885,"Vegetables"
"496","Cauliflower, raw, green",416.018,"Vegetables"
"497","Cabbage, raw, chinese (pak-choi)",413.98,"Vegetables"
"498","Radishes, pickled, hawaiian style",400.458,"Vegetables"
"499","Brussels sprouts, with salt, drained, boiled, cooked, frozen",390.72,"Vegetables"
"500","Brussels sprouts, without salt, drained, boiled, cooked, frozen",390.72,"Vegetables"
"501","Cauliflower, no salt added, cooked, green",387.002,"Vegetables"
"502","Cauliflower, with salt, cooked, green",387.002,"Vegetables"
"503","Cauliflower, raw",380.614,"Vegetables"
"504","Broccoli, unprepared, spears, frozen",367.012,"Vegetables"
"505","Cabbage, raw, chinese (pe-tsai)",357.536,"Vegetables"
"506","Cabbage, salted, mustard",355.952,"Vegetables"
"507","Cabbage, with salt, drained, boiled, cooked, red",354.937,"Vegetables"
"508","Cabbage, without salt, drained, boiled, cooked, red",354.937,"Vegetables"
"509","Radishes, raw, white icicle",344.932,"Vegetables"
"510","Broccoli, unprepared, chopped, frozen",337.142,"Vegetables"
"511","Cabbage, raw, savoy",335.642,"Vegetables"
"512","Radishes, with salt, drained, boiled, cooked, oriental",335.284,"Vegetables"
"513","Radishes, without salt, drained, boiled, cooked, oriental",335.284,"Vegetables"
"514","Cabbage, raw, red",335.06,"Vegetables"
"515","Cabbage, raw, freshly harvest, common (danish, domestic, and pointed types)",331.742,"Vegetables"
"516","Cabbage, raw, stored, common (danish, domestic, and pointed types)",331.742,"Vegetables"
"517","Broccoli, with salt, drained, boiled, cooked, spears, frozen",306.978,"Vegetables"
"518","Broccoli, without salt, drained, boiled, cooked, spears, frozen",306.978,"Vegetables"
"519","Cabbage, with salt, drained, boiled, cooked, chinese (pe-tsai)",306.482,"Vegetables"
"520","Cabbage, without salt, drained, boiled, cooked, chinese (pe-tsai)",306.482,"Vegetables"
"521","Radishes, raw, oriental",293.553,"Vegetables"
"522","Cabbage, with salt, drained, boiled, cooked, common",292.392,"Vegetables"
"523","Cabbage, without salt, drained, boiled, cooked",292.392,"Vegetables"
"524","Radishes, raw",288.459,"Vegetables"
"525","Cabbage, with salt, drained, boiled, cooked, savoy",271.584,"Vegetables"
"526","Cabbage, without salt, drained, boiled, cooked, savoy",271.584,"Vegetables"
"527","Cauliflower, unprepared, frozen",262.768,"Vegetables"
"528","Turnips, raw",259.519,"Vegetables"
"529","Turnips, with salt, drained, boiled, cooked, frozen",255.143,"Vegetables"
"530","Turnips, without salt, drained, boiled, cooked, frozen",255.143,"Vegetables"
"531","Cabbage, raw",248.649,"Vegetables"
"532","Turnips, without salt, drained, boiled, cooked",245.253,"Vegetables"
"533","Broccoli, with salt, drained, boiled, cooked, chopped, frozen",237.867,"Vegetables"
"534","Broccoli, without salt, drained, boiled, cooked, chopped, frozen",237.867,"Vegetables"
"535","Cabbage, kimchi",224.524,"Vegetables"
"536","Cauliflower, with salt, drained, boiled, cooked",199.47,"Vegetables"
"537","Cauliflower, without salt, drained, boiled, cooked",199.47,"Vegetables"
"538","Turnips, unprepared, frozen",190.816,"Vegetables"
"539","Cauliflower, with salt, drained, boiled, cooked, frozen",189.584,"Vegetables"
"540","Cauliflower, without salt, drained, boiled, cooked, frozen",189.584,"Vegetables"
"541","Turnips, with salt, drained, boiled, cooked",184.384,"Vegetables"
"542","Cabbage, cooked, napa",144.039,"Vegetables"
"543","Seaweed, dry, Canadian Cultivated EMI-TSUNOMATA",4267.73,"Other"
"544","Seaweed, dried, agar",2598.31,"Other"
"545","Mushrooms, dried, shiitake",1979.061,"Other"
"546","Seaweed, dried, spirulina",1832.5,"Other"
"547","Oats",1193.262,"Other"
"548","Garlic, raw",763.671,"Other"
"549","Mushrooms, raw, morel",680.392,"Other"
"550","Mushrooms, microwaved, white",635.764,"Other"
"551","Mushrooms, raw, exposed to ultraviolet light, or crimini, italian, brown",596.042,"Other"
"552","Mushrooms, raw, or crimini, italian, brown",596.042,"Other"
"553","Mushrooms, raw, Chanterelle",595.109,"Other"
"554","Mushrooms, grilled, exposed to ultraviolet light, portabella",588.856,"Other"
"555","Mushrooms, grilled, portabella",588.856,"Other"
"556","Mushrooms, raw, oyster",562.687,"Other"
"557","Seaweed, rehydrated, Canadian Cultivated EMI-TSUNOMATA",518.84,"Other"
"558","Mushrooms, stir-fried, white",516.588,"Other"
"559","Seaweed, raw, laver",489.052,"Other"
"560","Mushrooms, raw, exposed to ultraviolet light, portabella",485.665,"Other"
"561","Mushrooms, raw, enoki",481.332,"Other"
"562","Mushrooms, raw, portabella",475.665,"Other"
"563","Mushrooms, with salt, drained, boiled, cooked, white",463.359,"Other"
"564","Mushrooms, without salt, drained, boiled, cooked, white",463.359,"Other"
"565","Mushrooms, stir-fried, shiitake",458.916,"Other"
"566","Seaweed, raw, irishmoss",445.419,"Other"
"567","Mushrooms, raw, shiitake",438.782,"Other"
"568","Seaweed, raw, kelp",423.18,"Other"
"569","Mushrooms, raw, white",416.865,"Other"
"570","Seaweed, raw, wakame",390.864,"Other"
"571","Seaweed, raw, agar",354.294,"Other"
"572","Mushrooms, raw, maitake",289.611,"Other"
"573","Mushrooms, drained solids, canned",222.111,"Other"
"574","Seaweed, raw, spirulina",172.573,"Other"
"575","Mushrooms, with salt, cooked, shiitake",164.54,"Other"
"576","Mushrooms, without salt, cooked, shiitake",164.54,"Other"
"577","Mushrooms, drained solids, canned, straw",157.661,"Other"
