"UgzG07cFtmH9WNqHL_Z4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-04-05T18:37:08.745322+00:00,0,,,sjqj-1CC6o0,""{""""text"""":""""Spłoną głośniki jak warszawska tęcza😎😎""""}""";
"UgwyErnW6PuzQMjJ6lx4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-04-05T10:51:43.254504+00:00,0,,,0xKjAFwRqn4,""{""""text"""":""""@gaby_maj""""}""";
"Ugwm1KzFo42QA4DkzKp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-26T14:12:58.741239+00:00,0,,,JK_zl3edv7o,""{""""text"""":""""Hejka! Nie znam się za bardzo na takiej diecie. I mam kilka pytań.""""},{""""text"""":""""\n""""},{""""text"""":""""Czy pijecie kawe, lub herbate?""""},{""""text"""":""""\n""""},{""""text"""":""""Czy są słodycze frutriańskie?""""}""";
"UgyPQ6lMPm1tEFqwBcl4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-25T14:11:06.445822+00:00,0,,,VHcfiX7rSzY,""{""""text"""":""""Najlepsze placki ziemniaczane to te z gulaszem""""}""";
"UgyMXrRR6ICz1iJD8yl4AaABAg.8skn5SzRa-j8smn8SS7r4G,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-22T16:16:15.350261+00:00,0,UgyMXrRR6ICz1iJD8yl4AaABAg,,G6lcNeOoD9M,""{""""text"""":""""Czyli de facto jestesmy nietolerowani""""}""";
"UgyMXrRR6ICz1iJD8yl4AaABAg.8skn5SzRa-j8smn3U9odyx,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-22T16:15:34.600822+00:00,0,UgyMXrRR6ICz1iJD8yl4AaABAg,,G6lcNeOoD9M,""{""""text"""":""""Dokładnie, jeśli trzymamy sie swoich ideałów czyli np. Rodziny, w której jest MAMA i TATA to wtedy my jestesmy wyśmiewani i podczepiani pod grupe  \""""zacofanych\""""""""}""";
"UgwOpLWNqXgrokfy9jB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-20T16:43:17.35007+00:00,0,,,NzMk-aWB8EM,""{""""text"""":""""Odpowiedź do prostacji?""""},{""""text"""":""""\n""""},{""""text"""":""""Zapoznaj się lepiej z jej nowym filmikiem, dla mnie choć dziewczyna jest młodsza to jednak inteligentniejsza""""}""";
"Ugwc2g4EzApOy4QajiB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-20T16:20:32.032964+00:00,0,,,GyPsxYRRJjU,""{""""text"""":""""Żałosne trochę to wasze komentowamie""""}""";
"UgyXZAnvlR2kEEiXBVp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-20T16:19:10.58189+00:00,0,,,GyPsxYRRJjU,""{""""text"""":""""ADA TEŻ NIE JEST UZDOLNIONA MANUALNIE""""}""";
"UgyDStw1I1c3UzmmIld4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-20T16:16:13.572538+00:00,0,,,GyPsxYRRJjU,""{""""text"""":""""Poki co to ja widze hejt ale na tym kanale. Snucie historii o innych, że zadroszcza komus wyglądu itp... no sorry. To byla krytyka, nie hejt.""""}""";
"Ugx_YPd_lMeHaNpeCJ14AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-11T19:14:17.363579+00:00,0,,, -ELSP8zqhXo,""{""""text"""":""""AWFUL""""}""";
"Ugyk9C7LA2IoBkQzCPN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-09T13:47:01.478723+00:00,0,,,22lISUXgSUw,""{""""text"""":""""Italian is so so beautiful""""}""";
"Ugy-RAf8OB0Nvc4lRSd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-03-02T22:44:57.233871+00:00,0,,,WfaCx2I-41M,""{""""text"""":""""Najlepsze youtuberka, influencerka i w ogóle 😍😍😍 punkt 1 i 2 już dawno zrobione """"},{""""text"""":""""\n""""},{""""text"""":""""@gaby_maj""""}""";
"UgzSfiVCRlT1WkHGzB94AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-27T21:12:13.870036+00:00,0,,,69OYpJko3oQ,""{""""text"""":""""Szkoda, że nie może byc na eurowizje bo ta piosenka jest mega""""}""";
"UgxzDHyq-esp2y9g1_t4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-25T14:09:28.137908+00:00,0,,,FyqCjljoZ24,""{""""text"""":""""Cudowny angielski!!×""""}""";
"UgyYKP0oZmJQWZGbD1p4AaABAg.8rNsV9PcSVm8rO5KPBJzBA,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-15T20:12:15.786324+00:00,0,UgyYKP0oZmJQWZGbD1p4AaABAg,,09NqLjHJtGQ,""{""""text"""":""""Własnie, przynajmiej wysylamy coś wartościowego i innego, a nie jakąś ballade albo popowe gówno""""}""";
"UgwdPWBVY2KzBMysUgB4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-13T14:59:37.086095+00:00,0,,,P_2FdaTto7Y,""{""""text"""":""""A może eurowizja?""""}""";
"Ugw9Xil2i1vWntRdYIt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-10T18:37:26.814067+00:00,0,,,2JW6A5vFnGY,""{""""text"""":""""Po co o tej elektro ujemności, my w gimnazjum na układzie nie mamy zaznaczonej żadnej elektroujemności""""}""";
"UgxeiexQYv4-2xhpKIV4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-07T18:44:07.438392+00:00,0,,,SpV13dnbEpc,""{""""text"""":""""Uwielbiam ciee 😍""""},{""""text"""":""""\n""""},{""""text"""":""""@gaby_maj""""}""";
"UgzqNHFNfW7qLZSahql4AaABAg.8q_evrvIPd18qxxKk-BS7d,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-05T07:14:10.352855+00:00,0,UgzqNHFNfW7qLZSahql4AaABAg,,EdIS9bJv6pI,""{""""text"""":""""Bez przesady... raz jej nie wybraliśmy bo michał mial lepszą piosenke""""}""";
"UgwbzoJV0ZLSgPT5Xmd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-04T18:47:07.608354+00:00,0,,,bBuzP7DR0NY,""{""""text"""":""""Słaby angielski zresztą tak jak u clodie""""}""";
"UgxQgUujuBaTJsFPPmV4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-02-03T14:52:12.270828+00:00,0,,,pjwp4t3K-hc,""{""""text"""":""""Jakoś z Dua Lipą kojarzy""""}""";
"Ugzw1iwk9_TzLqXffdd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-29T14:55:12.281186+00:00,0,,,69OYpJko3oQ,""{""""text"""":""""EUROWIZJA""""}""";
"UgzqNHFNfW7qLZSahql4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-26T20:51:35.030278+00:00,0,,,EdIS9bJv6pI,""{""""text"""":""""Zdrajca""""},{""""text"""":""""\n""""},{""""text"""":""""Czemu nie reprezentacja Polski?""""}""";
"UgxI9w5hVFKBSIJYkrF4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-20T12:40:27.290529+00:00,0,,,BUkYV1Lot_c,""{""""text"""":""""Jak dla mnie 5,6 i 10""""}""";
"UgzeF3135jAhZpwnPHR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-16T17:09:23.793044+00:00,0,,,0gOrf2RUrfs,""{""""text"""":""""Jestes nasza jedyną szansą na eurowizje""""}""";
"UgwY9_rBKUU8-IS8U6R4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-14T09:02:52.806646+00:00,0,,,Eyt0mwfyDZc,""{""""text"""":""""Fajnie by było też wygrać torebke bo wybieram się zaraz do liceum i napewno by się przydała""""}""";
"UgyZE7nuBqO43Y9FWzl4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-14T08:48:54.088749+00:00,0,,,Eyt0mwfyDZc,""{""""text"""":""""Chciałabym wygrać laptopa bo mojego mam od komuni czyli chyba 7 lat 😂 przydałby się nowy""""},{""""text"""":""""\n""""},{""""text"""":""""Do tego mój tata ma urodziny pod koniec stycznia ,a również często korzysta z laptopa""""}""";
"Ugwp16uwtskwpuLOrjh4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-13T22:27:44.598795+00:00,0,,,oLmIrPPOHEM,""{""""text"""":""""Wardęga nie oskarżył go na podstwie komentarzy...""""}""";
"UgwinZ1szZGrFgm4RfR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-11T23:40:47.67245+00:00,0,,,D9wDMJt2TZA,""{""""text"""":""""One more time na eurowizje błagam z tą piosenką ❤""""}""";
"UgwlgBORKW0dQSpDgYh4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2019-01-09T14:39:40.147364+00:00,0,,,NIxNSpFkHyY,""{""""text"""":""""Nie rozumiem zachwytu chłopcem. Było wiele dzieci, które równie pięknie śpiewają.""""},{""""text"""":""""\n""""},{""""text"""":""""Dlaczego jego występ został opublikowany przed emisją 1 odcinka? Myśle, że było to bardzo niesprawiedliwe wobec innych uczestników.""""}""";
"UgxTkuLOXLL49v1LbmN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-12-29T14:29:55.576518+00:00,0,,,2UjJGNA4BL0,""{""""text"""":""""Hannah montanah come back ❤❤❤""""}""";
"UgyDXYPgBkIYinlUpZJ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-12-20T15:19:02.135443+00:00,0,,,0gOrf2RUrfs,""{""""text"""":""""Prosze eurowizja 2019""""}""";
"Ugymzcl7U6SJBT4bXtR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-12-19T11:17:59.873223+00:00,0,,,nTiXKq-1huk,""{""""text"""":""""Czy tylko dla mnie Karolina jest podobna do Miley Cyrus z czasów Hannah Montanah? 😁""""}""";
"Ugx8eIU7SSCkW94EBGZ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-12-14T12:28:45.595837+00:00,0,,,sU95Hvb2PNs,""{""""text"""":""""Content od emce?""""}""";
"Ugxs-Vlj7XwdsS8VHIt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-12-07T15:49:47.73164+00:00,0,,,8LFSO_-BkbQ,""{""""text"""":""""Moja siostra miała taką samą suknie na swoim ślubie 😍😍""""},{""""text"""":""""\n""""},{""""text"""":""""Anna kara jest niesamowitą projektantką😍😍""""}""";
"UgyEA3sylSil07N12bF4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-11-25T18:52:37.609651+00:00,0,,,ZjUb0Q1NAXg,""{""""text"""":""""You were amazing 💞💞💞 and thanks for 12 points,france is really fair. And dont worry about second place you are amazing as like Poland💕💕""""},{""""text"""":""""\n""""},{""""text"""":""""Greetings from Poland 💗💗""""}""";
"Ugw_SHJQiLyxrkIIFx94AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-11-18T19:42:55.157577+00:00,0,,,2QkzdK-SIUM,""{""""text"""":""""12 POLAND""""},{""""text"""":""""\n""""},{""""text"""":""""10 FRANCE""""},{""""text"""":""""\n""""},{""""text"""":""""8 KAZACHSTAN""""}""";
"UgziRr2jX3fBtn5upbR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-11-08T18:58:24.741398+00:00,0,,,if8ZvLMjlIQ,""{""""text"""":""""💗Poland, france, belarus, georgia, albania, australia 💗""""}""";
"Ugw1V_Bu1L3otXv7p654AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-11-07T22:20:12.09314+00:00,0,,,fp0TAUIXUfI,""{""""text"""":""""For me only audio version of Kazachstan's song is very good but life version isn't as good as audio version""""}""";
"Ugx3nX9Z3_2OSTX43TJ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-11-07T19:28:49.171056+00:00,0,,,MKb8usIsYLU,""{""""text"""":""""Really? He won?""""}""";
"UgySBPWQH1--wwCSeKp4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-11-06T20:30:26.28703+00:00,0,,,fp0TAUIXUfI,""{""""text"""":""""My favorites are albania, malta, france, poland, belarus""""}""";
"Ugy_qT169J4SMNaXnwd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-10-12T18:45:21.300645+00:00,0,,,ZfZzQJqTQ50,""{""""text"""":""""Dostalam dzis dziennik na urodziny i jest super!!🔥💕""""}""";
"UgyFNAkB8eqOeestGsN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-09-30T17:25:04.384+00:00,0,,,EzsDLsoxpq4,""{""""text"""":""""Zróbcie chociaz raz w miesiącu vlog  w jezyku angielskim""""}""";
"UgyBrjF4QLbXOtph_YV4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-09-16T08:02:23.93463+00:00,0,,,j7gCLHZrtZ8,""{""""text"""":""""A tak uwielbiałam jeleniejaja...""""}""";
"UgxakrYY-qfFZPNCCYt4AaABAg.8l3qF2K7TT48l4oFlpzIeR,UCbYIDTfcDLcc1A5lPky6kOg,2018-09-12T05:20:24.467035+00:00,0,UgxakrYY-qfFZPNCCYt4AaABAg,,5g_c-EIE-F0,""{""""text"""":""""@BellaTv"""",""""mention"""":{""""externalChannelId"""":""""UCxWhkMr_RdZmlyVzl_QXOHw""""}},{""""text"""":"""" wydaję  mi się, że wyraźnie powiedziałaś, że jesteś nie wierząca ";")""""}"""
"UgyLA6ND2aa91Jk8XV54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-09-11T20:32:36.952572+00:00,0,,,cHaVQ2-frt4,""{""""text"""":""""Wyglądasz trochę  jak miley cyrus gdy grała jeszcze w hannah montanah""""}""";
"UgxakrYY-qfFZPNCCYt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-09-11T20:18:33.003341+00:00,0,,,5g_c-EIE-F0,""{""""text"""":""""Więc skoro jestes nie wierząca to po co ochrzciłaś dziecko😉? Skoro ktoś w Boga nie wierzy to czemy chrzci dziecko oraz obchodzi wigilię?""""}""";
"UgxxZmGj5OQ9jyTHBmx4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-08-22T20:59:49.034034+00:00,0,,,pGtLOuWOitc,""{""""text"""":""""Najpierw zjadaj park pierwszy, potem szybko szukaj drugiego parku i dalej leć z blokowiskami. Polecam, moj sposób""""}""";
"UgzGsFHYNQvTfGXUTSN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-08-21T20:06:31.489032+00:00,0,,,N1J7Nmb4-uY,""{""""text"""":""""Co prawda niezbyt ciesze się, żd wracam do szkoły, ale są też te pozytywne aspekty. Najbardziej cieszę się jak większość osób z tego, że będe się cześciej widywać z moimi ukochanymi przyjaciółmi, ale to nie wszystko. W tym roku szkolnym u mnie w szkole nareszcie pojawią się szafki, które tak długo były przez wszystkich wyczekiwane. To osatni mój rok tej szkole ale i tak cieszę się, że będa mogła choć przez tak krótki czas doświadczyć tego komfortu. Pojawi się także winda, jest to również wielki komfort, ponieważ gdy po w-f na parterze trzeba wejść na geografie na 3 piętrze to czasmi bywa ciężko. Podsumowując bardzo cieszę się,że moja szkoła tak się rozwija i będe mogła korzystać z tych wszystkich udogodnień po wakacjach.""""}""";
"UgzE7g0RswEZYjp6AK54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-08-08T21:46:26.896603+00:00,0,,,faJn5yDSsZc,""{""""text"""":""""Spędzilam w czarnogórze najlepsze wakacje w życie i gdy pokazałaś  kotor wszysyko wróciło❤❤❤❤""""}""";
"Ugz9fHnQDUoCF3-uKKN4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-08-05T18:10:25.604931+00:00,0,,,MZu278nZnAI,""{""""text"""":""""BOX 2   insta: gaba_pw123""""}""";
"UgxO71TSlEsfRetCSW14AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-07-13T15:02:15.66638+00:00,0,,,deIYG_3MuEU,""{""""text"""":""""Chcemy idcinek o baby shower 😃😃""""}""";
"UgxAN_4qvkBxj4Ud-pd4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-06-10T12:46:00.676832+00:00,0,,,_QscPz74kSg,""{""""text"""":""""Stardust 😍😍moja siostra wybiera się w niej do ślubu ❤""""}""";
"UgzEvlzvsSGx-au8lcR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-06-08T09:32:11.671835+00:00,0,,,WNESk4bySso,""{""""text"""":""""Gdy zobaczyłam torty od ewy zczailam się, że jestescie z Radomia 😃😃 pyszne torty""""}""";
"UgyAJMtztlq45ten7654AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-05-14T14:03:46.274389+00:00,0,,,84LBjXaeKk4,""{""""text"""":""""Why she is winner? I think that Italy should win it.""""}""";
"UgwQpEmDQ0ppU4WGH6B4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-05-07T14:52:05.684531+00:00,0,,,b-tYWBLfza4,""{""""text"""":""""Też nigdy nie jem końcówek od parówki 😂😂""""}""";
"UgxIur-NCt4yerYwf314AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-05-01T08:08:32.689235+00:00,0,,,jECy58BTJtw,""{""""text"""":""""Really good! Greetings from Poland ❤❤""""}""";
"UgwjUhwsE_qvhyRKbGR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-04-30T14:15:39.734426+00:00,0,,,ZNflc1Zcw2A,""{""""text"""":""""It sounds like heros from before 2 years...""""}""";
"UgwhmgkRbFei0Ub_GSh4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2018-03-10T20:58:43.398781+00:00,0,,,iGuqBDOjzJY,""{""""text"""":""""I think that I heard somewhere this song""""}""";
"Ugxd3fhKoTLKDuH0gVt4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2017-12-17T16:03:39.802769+00:00,0,,,akXsmUYTPy8,""{""""text"""":""""5:48"""",""""videoLink"""":{""""externalVideoId"""":""""akXsmUYTPy8"""",""""startTimeSeconds"""":348}},{""""text"""":"""" gościu mnie rozwala""""}""";
"Ugw4VL69uuIveht8Vy54AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2017-08-17T13:36:05.682291+00:00,0,,,WDPVFMcSXxs,""{""""text"""":""""Pastelowy pomarańczowy""""}""";
"UgweLB-78AZmx8LF4nF4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2017-08-16T18:52:15.243427+00:00,0,,,k5JmiaJDBmM,""{""""text"""":""""Moim ulubionym przedmiotem szkolnym jest plastyka. """"},{""""text"""":""""\n""""},{""""text"""":""""Lubię też przedmioty ścisłe jak matematyka czy fizyka . Plastykę lubię , ponieważ mam bardzo fajna panią oraz oczywiście lubię rysować, malować, robić DIY itp .""""},{""""text"""":""""\n""""},{""""text"""":""""Podczas zając z plastyki przy pracach hymm.. jakby przestrzennych  ( nie wiem jak to nazwać) mogę się wzorować na twoim DIY , które oglądam hymm...  mniej więcej od roku 😃. """"},{""""text"""":""""\n""""},{""""text"""":""""Zrobiłam sobie np. do pokoju girlande  według twoje pomysłu  i jest super. Wymyśliłam też kilka swoich pomysłów . A wracając do plastyki 😆😆 to panią i przedmiot lubię dla tego że nauczyłam się już naprawdę dużo technik wykonywania prac .""""},{""""text"""":""""\n""""},{""""text"""":""""Więc w sumie tyle chciałam napisać  😁 .""""},{""""text"""":""""\n""""},{""""text"""":""""Pozdrowienia 😘🎉""""}""";
"Ugyjg9kTRPR1tIyA8UF4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2017-08-14T21:23:01.189984+00:00,0,,,8jiWHIE7aVA,""{""""text"""":""""Idę teraz do 2 gimnazjum 😁😁 bardzo się cieszę że na polskim yt są DIY między innymi dzięki tobie 😘""""}""";
"UgiFFH521oH85HgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2017-07-12T11:10:43.57+00:00,0,,,x8CuPZAqhlQ,""{""""text"""":""""uwielbiam te DIY . Dobrze że są osoby na polskim yt  które coś takiego robią 😃""""}""";
"Ugg7_R20UTQjvXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2017-07-10T13:13:41.502+00:00,0,,,Aa37q_0v8Es,""{""""text"""":""""polecam pokazy fonntan  😃 odwiedź pijalnie czekolady  ❤ Jeśli chodzi o jedzenie to polecam chopper bar 😃 A jeśli chcesz zjeść dobrego Tatara  to oczywiście przedwojenna 👌""""}""";
"UgiNM8BxLmxPpngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2017-03-10T21:00:06.155+00:00,0,,,sH6RZhoVmWk,""{""""text"""":""""2. Z perspektywy innych to może wydawać się właśnie dziwne i wkurzjace ,ale ja naprawdę nie zawsze się nauczę A dostaje dobrą ocenę""""}""";
"UghzFEVLM7G1P3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2017-03-03T08:49:00.343+00:00,0,,,OjJitoxXKu0,""{""""text"""":""""dobrze , ze się wypowiedzialaś Julka . Nikogo nie powinny interesować wasze prywatne sprawy .""""}""";
"UgigStg2vuFrlXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2017-02-25T10:00:05.803+00:00,0,,,yfard_2TcwY,""{""""text"""":""""część kludek z jednej strony usuwali""""}""";
"Ugi-Wn9s6rJxkXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2017-02-04T20:22:24.874+00:00,0,,,MYgp3wJ_YEE,""{""""text"""":""""Wrocław , najlepszy wybór 😀😀""""}""";
"Ugh2tVrzhDFKi3gCoAEC.8NbQXLM2CFO8NdvfANhSQM,UCbYIDTfcDLcc1A5lPky6kOg,2017-01-12T20:52:59.337663+00:00,0,Ugh2tVrzhDFKi3gCoAEC,,LY3TFx1EveY,""{""""text"""":""""w innych krajach eos nie kosztuje 30 zł , jest dużo  tańszy""""}""";
"Ugh_BSFnDuQ_H3gCoAEC.8IPbGqWPXvD8IgLPElOeLl,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-11T12:48:06.895025+00:00,0,Ugh_BSFnDuQ_H3gCoAEC,,zJwnrr5L-aI,""{""""text"""":""""gaba_pw123""""}""";
"UgitISROgLfTIHgCoAEC.8IPd3hs4akY8IgKr5aH9FE,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-11T12:43:19.02878+00:00,0,UgitISROgLfTIHgCoAEC,,7zBS8QV9eMc,""{""""text"""":""""2012gabi@wp.pl""""}""";
"Ugj467jqB3BqXngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-10T17:47:27.22+00:00,0,,,v6JuI48nYhw,""{""""text"""":""""Pierwszym film okien jakim zobaczyłam u Ciebie na kanale , także było rozdanie . Było to w okresie świat , ponieważ pamiętam intro z karczaczkami 😁. W rozdaniu próbowałam swoich sił aby wygrać naibiesko-biały  plecak . No niestety nie udalo sie . Gdy też obejrzałam ten filmik pomyślał \""""jejku jaką fajan dziewczyna 😁aż sobie subne \"""" . Taka była moja krótka myśl . Potem przssldzilam twoje vlogstery i potem oglądałam każdy filmik ktory wrzucilas. Julka pozdrawiam maksa ( ja mam labladora , kochamy pies ❤) Aleksa i oczywiście Ciebie .""""}""";
"UgitISROgLfTIHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-04T15:44:52.244+00:00,0,,,7zBS8QV9eMc,""{""""text"""":""""O jejku strasznie trudno wybrać ! mialyscie tyle świetnych filmów .""""},{""""text"""":""""\n""""},{""""text"""":""""Ale myślę , ze na obecny okres szkolny przydały mi się filmy o aplikacjach do szkoły , przyjemnym zasypianiu oraz ten filmik  , który właśnie komentuje .Spodobały mi się , ponieważ są bardzo przydatne .Zresztą większość waszych filmików jest mega przydatna. Częsta korzystam z waszych porad . 😀""""}""";
"UgiPrFoWJry6DXgCoAEC.8IPcJ5974s08IPcMhH3eo3,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-04T15:38:43.543178+00:00,0,UgiPrFoWJry6DXgCoAEC,,1PRibDAlMGQ,""{""""text"""":""""2012gabi@wp.pl""""}""";
"UgiPrFoWJry6DXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-04T15:38:13.957+00:00,0,,,1PRibDAlMGQ,""{""""text"""":""""obecnie uczeszczam do gimnazjum . Najbardziej w szkole lubię spędzać czas na przerwach z moją klasą .""""},{""""text"""":""""\n""""},{""""text"""":""""Mam świetną klasę i naprawdę super spędza się z nimi czas , dlatego najbardziej to lubię .""""}""";
"Ugh_BSFnDuQ_H3gCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-09-04T15:29:11.3+00:00,0,,,zJwnrr5L-aI,""{""""text"""":""""biorę udział """"},{""""text"""":""""\n""""},{""""text"""":""""na instgramie obserwuję jako gaba_na snapchacie obserwuje jako gabuncia""""}""";
"UghqRpocrYajFXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-30T20:39:27.967+00:00,0,,,IJdRdo7sTg4,""{""""text"""":""""Gdybym dostała tak kosmetyczkę lub puszkę czulabym się tak szczęśliwa jak ta niebieska alpaka , która cieszy się ze występuje u takiej fajnej youtuberki. Moja skóra  czuła by się jak agi podniebienie kiedy testuję pyszne zestawy w japana zjadam. kosmetyczka w moim Plecaku, lub puszka w pokoju czulyby się niczym Aga w Japoni. """"},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""2012gabi@wp.pl""""}""";
"UgjGvEgzvFVA0ngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-29T08:21:38.246+00:00,0,,,NJd5CcepwWI,""{""""text"""":""""Idę teraz  do klasy 1 gimnazjum""""}""";
"UgjyuSyUI1ZDLngCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-26T21:56:34.072+00:00,0,,,P34nRHSVngw,""{""""text"""":""""biorę udział """"},{""""text"""":""""\n""""},{""""text"""":""""zestaw różowy """"},{""""text"""":""""\n""""},{""""text"""":""""2012gabi@wp.pl """"},{""""text"""":""""\n""""},{""""text"""":"""":) pozdrawiam""""}""";
"UgiAr9SrD7SYkHgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-26T21:55:18.876+00:00,0,,,P34nRHSVngw,""{""""text"""":""""Nie mam niestety instagrama . Wybieram zestaw niebieski. Mam jedne żel z bath &body Works w którym jestem totalnie zakochana . Niestety nie mieszkam zbyt bilsko Warszawy i póki co nie mam możliwości zakupu Nowego  żelu .Dlatego bardzo bym chciała wygrać .""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""2012gabi@wp.pl""""}""";
"UgjMVWpjBVEcuXgCoAEC,UCbYIDTfcDLcc1A5lPky6kOg,2016-08-24T20:41:36.336+00:00,0,,,f2vR19vq5aQ,""{""""text"""":""""Cześć  myślę , ze fajny byłby filmik w którym przetestwała byś więcej rzeczy i dawała ocenke  1-10. Możesz w tym filmiku przetestować np. tęczowy rozswietlacz, paski wybielajace, szablony do brwi oraz podróbki pomadek keylie.""""},{""""text"""":""""\n""""},{""""text"""":""""Nie wiem jak inni twoi widzowie, ale ja z chęcią obejrzała bym """"},{""""text"""":""""\n""""},{""""text"""":"""" takiego . 😀 Ja wybieram 2 zestaw- buty Led. """"},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""\n""""},{""""text"""":""""2012gabi@wp.pl""""}""";
