Countries;Source;Type;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Canada; (WDT) 1961-1992, Statistics Canada 1993-2018; Other alcoholic beverages;0.4;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.2
Central African Republic; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;0.94;0.94;0.9;0.9;0.9;1.88;1.7;1.96;1.97;1.96
Central African Republic; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.55;0.55;0.53;0.54;0.53;0.42;0.26;0.35;0.35;0.31
Central African Republic; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.04;0.04;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.02
Central African Republic; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.02;0.02;0.02;0.01;0.02;0.01;0;0;0.03;0.04
Central African Republic; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0.33;0.33;0.33;0.33;0.33;1.43;1.43;1.59;1.57;1.59
Chad; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;0.55;0.55;0.58;0.64;0.66;0.68;0.65;0.63;0.6;0.55
Chad; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.37;0.37;0.39;0.46;0.48;0.47;0.41;0.37;0.37;0.32
Chad; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.01;0.01;0.01;0.01;0.01;0.02;0.04;0.04;0.05;0.05
Chad; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.01;0.01;0.01;0.01;0.01;0.03;0.04;0.04;0.04;0.03
Chad; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.18;0.14;0.15
Chile; (WDT) 1961-1999, WHO 2000-2015, (GlobalData, WHO ) 2016-2017; All types;7.8;7.8;7.77;7.73;7.89;7.92;7.23;8.35;7.02;7.55
Chile; (WDT) 1961-1999, WHO 2000-2015, (GlobalData, WHO ) 2016-2017; Beer;2.76;2.76;2.73;2.69;2.85;2.79;2.67;2.55;2.51;2.35
Chile; (WDT) 1961-1999, WHO 2000-2015, (GlobalData, WHO ) 2016-2017; Wine;2.61;2.61;2.61;2.61;2.61;2.85;2.37;2.65;2.51;3.1
Chile; (WDT) 1961-1999, WHO 2000-2015, (GlobalData, WHO ) 2016-2017; Spirits;2.43;2.43;2.43;2.43;2.43;2.28;2.19;3.15;2;2.1
Chile; (WDT) 1961-1999, WHO 2000-2015, (GlobalData, WHO ) 2016-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
China; (FAO) 1961-1984, (WDT) 1985-1999, (GlobalData, IWSR, OIV) 2000-2004, WHO  (2012) 2005-2010, (GlobalData, IWSR, OIV) 2011-2018; All types;4.48;4.77;5.25;5.63;5.66;5.65;5.62;5.52;5.36;5.75
China; (FAO) 1961-1984, (WDT) 1985-1999, (GlobalData, IWSR, OIV) 2000-2004, WHO  (2012) 2005-2010, (GlobalData, IWSR, OIV) 2011-2018; Beer;1.66;1.66;1.66;1.68;1.73;1.86;1.88;1.82;1.75;1.67
China; (FAO) 1961-1984, (WDT) 1985-1999, (GlobalData, IWSR, OIV) 2000-2004, WHO  (2012) 2005-2010, (GlobalData, IWSR, OIV) 2011-2018; Wine;0.18;0.19;0.2;0.2;0.19;0.18;0.2;0.2;0.18;0.17
China; (FAO) 1961-1984, (WDT) 1985-1999, (GlobalData, IWSR, OIV) 2000-2004, WHO  (2012) 2005-2010, (GlobalData, IWSR, OIV) 2011-2018; Spirits;2.63;2.92;3.39;3.75;3.74;3.61;3.54;3.5;3.43;3.91
China; (FAO) 1961-1984, (WDT) 1985-1999, (GlobalData, IWSR, OIV) 2000-2004, WHO  (2012) 2005-2010, (GlobalData, IWSR, OIV) 2011-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Colombia; (FAO) 1961-1962, (WDT)1963-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;4.09;4.21;4.2;4.46;4.16;4.22;4.32;4.37;4.3;4.22
Colombia; (FAO) 1961-1962, (WDT)1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;3.09;3.09;3.05;3.22;3.2;3.06;3.05;3.07;2.97;2.87
Colombia; (FAO) 1961-1962, (WDT)1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.06;0.06;0.06;0.06;0.05;0.05;0.05;0.05;0.05;0.05
Colombia; (FAO) 1961-1962, (WDT)1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;0.92;1.04;1.08;1.16;0.9;1.09;1.19;1.23;1.26;1.28
Colombia; (FAO) 1961-1962, (WDT)1963-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Comoros; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; All types;0.18;0.18;0.18;0.15;0.14;0.13;0.23;0.11;0.11;0.13
Comoros; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Beer;0.04;0.04;0.04;0.04;0.04;0.03;0.06;0.03;0.02;0.03
Comoros; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Wine;0.07;0.07;0.07;0.06;0.03;0.05;0.06;0.04;0.04;0.03
Comoros; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Spirits;0.07;0.07;0.07;0.05;0.07;0.05;0.11;0.04;0.05;0.07
Comoros; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;5.74;5.64;5.8;5.7;4.47;4.52;4.43;4.4;4.19;4.02
Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;5.11;5.11;5.32;5.15;3.87;3.9;3.74;3.66;3.55;3.33
Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.1;0.05;0.07;0.13;0.13;0.12;0.18;0.23;0.15;0.22
Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.52;0.47;0.4;0.4;0.45;0.49;0.5;0.49;0.47;0.46
Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0.02;0.02;0.03;0.02;0.02;0.02;0.02
Cook Islands; ((FAO), Wine Institute) 2000-2015; All types;12.97;12.97;12.97;12.97;12.97;12.97;12.97;14.74;8.06;11.24
Cook Islands; ((FAO), Wine Institute) 2000-2015; Beer;3.62;3.62;3.62;3.62;3.62;3.62;3.62;2.83;2.61;2.2
Cook Islands; ((FAO), Wine Institute) 2000-2015; Wine;2.28;2.28;2.28;2.28;2.28;2.28;2.28;2.96;2.14;2.89
Cook Islands; ((FAO), Wine Institute) 2000-2015; Spirits;7.07;7.07;7.07;7.07;7.07;7.07;7.07;8.96;3.31;6.15
Cook Islands; ((FAO), Wine Institute) 2000-2015; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Costa Rica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;3.07;3.28;3.21;3.36;3.19;3.12;3.02;3.17;3.21;3.74
Costa Rica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;2.17;2.39;2.36;2.5;2.26;2.19;2.14;2.16;2.2;2.09
Costa Rica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.15;0.16;0.16;0.17;0.15;0.15;0.14;0.14;0.15;0.32
Costa Rica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.36;0.33;0.31;0.32;0.35;0.37;0.34;0.47;0.47;1.29
Costa Rica; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.39;0.41;0.38;0.37;0.42;0.41;0.4;0.4;0.39;0.03
Croatia; (FAO) 1987-1999, (GlobalData, IWSR, OIV ) 2000-2018; All types;9.64;9.63;9.7;10;9.64;9.5;10.39;10.58;11.01;10.71
Croatia; (FAO) 1987-1999, (GlobalData, IWSR, OIV ) 2000-2018; Beer;4.75;4.75;4.65;4.62;4.55;4.25;4.61;4.55;4.73;4.48
Croatia; (FAO) 1987-1999, (GlobalData, IWSR, OIV ) 2000-2018; Wine;3.52;3.52;3.7;4.03;3.76;3.94;4.51;4.78;5.05;5.02
Croatia; (FAO) 1987-1999, (GlobalData, IWSR, OIV ) 2000-2018; Spirits;1.37;1.36;1.35;1.34;1.33;1.32;1.28;1.25;1.23;1.21
Croatia; (FAO) 1987-1999, (GlobalData, IWSR, OIV ) 2000-2018; Other alcoholic beverages;0.36;0.39;0.38;0.37;0.36;0.36;0.36;0.38;0.4;0.39
Cuba; (WDT) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;4.7;4.76;4.69;4.58;4.65;4.54;4.35;4.33;4.32;4.28
Cuba; (WDT) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;1.77;1.77;1.74;1.73;1.8;1.75;1.71;1.66;1.64;1.62
Cuba; (WDT) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.23;0.23;0.23;0.23;0.22;0.23;0.22;0.22;0.2;0.2
Cuba; (WDT) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.69;2.76;2.7;2.61;2.61;2.54;2.41;2.43;2.46;2.44
Cuba; (WDT) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Cyprus; (WDT) 1961-1999, Cyprus 2000-2015; All types;9.59;9.59;9.59;9.59;9.59;9.63;9.07;10.58;10.71;11.33
Cyprus; (WDT) 1961-1999, Cyprus 2000-2015; Beer;2.85;2.85;2.85;2.85;2.85;3.22;3.32;3.49;3.54;3.79
Cyprus; (WDT) 1961-1999, Cyprus 2000-2015; Wine;2.72;2.72;2.72;2.72;2.72;2.79;2.49;2.61;2.56;2.67
Cyprus; (WDT) 1961-1999, Cyprus 2000-2015; Spirits;4.02;4.02;4.02;4.02;4.02;3.62;3.26;4.48;4.61;4.87
Cyprus; (WDT) 1961-1999, Cyprus 2000-2015; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Czechia; (WDT) 1993-1999, Czechia 2000-2016; All types;12.73;12.73;12.73;12.92;12.76;12.75;12.54;12.83;12.56;12.68
Czechia; (WDT) 1993-1999, Czechia 2000-2016; Beer;6.77;6.77;6.77;6.88;6.87;6.88;6.87;6.93;6.64;6.72
Czechia; (WDT) 1993-1999, Czechia 2000-2016; Wine;2.73;2.73;2.73;2.76;2.66;2.74;2.63;2.77;2.71;2.71
Czechia; (WDT) 1993-1999, Czechia 2000-2016; Spirits;3.24;3.24;3.24;3.28;3.23;3.13;3.04;3.12;3.21;3.26
Czechia; (WDT) 1993-1999, Czechia 2000-2016; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Democratic People's Republic of Korea; (FAO) 1961-2015; All types;3.61;3.61;3.61;3.8;3.97;3.89;3.34;3.6;3.38;3.11
Democratic People's Republic of Korea; (FAO) 1961-2015; Beer;0.12;0.12;0.12;0.06;0.06;0.11;0.09;0.09;0.15;0.16
Democratic People's Republic of Korea; (FAO) 1961-2015; Wine;0;0;0;0;0;0;0;0;0;0
Democratic People's Republic of Korea; (FAO) 1961-2015; Spirits;3.48;3.48;3.48;3.74;3.91;3.78;3.25;3.51;3.23;2.95
Democratic People's Republic of Korea; (FAO) 1961-2015; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Democratic Republic of the Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;0.56;0.55;0.58;0.61;0.6;0.8;0.84;0.73;0.71;0.64
Democratic Republic of the Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;0.5;0.5;0.53;0.57;0.55;0.75;0.79;0.69;0.67;0.6
Democratic Republic of the Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Democratic Republic of the Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.05;0.03;0.04;0.03;0.04;0.04;0.04;0.03;0.03;0.02
Democratic Republic of the Congo; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Denmark; (WDT) 1961-1989, Statistics Denmark 1990-2018; All types;9.16;9.32;9.3;9.51;9.42;9.55;9.44;9.23;10.45;10.27
Denmark; (WDT) 1961-1989, Statistics Denmark 1990-2018; Beer;3.42;3.45;3.44;3.56;3.45;3.57;3.48;3.55;3.81;3.86
Denmark; (WDT) 1961-1989, Statistics Denmark 1990-2018; Wine;4.08;4.22;4.15;4.25;4.26;4.31;4.31;4.09;5.04;4.92
Denmark; (WDT) 1961-1989, Statistics Denmark 1990-2018; Spirits;1.66;1.65;1.64;1.62;1.65;1.59;1.57;1.51;1.51;1.44
Denmark; (WDT) 1961-1989, Statistics Denmark 1990-2018; Other alcoholic beverages;0;0;0.08;0.08;0.07;0.08;0.07;0.08;0.1;0.05
Djibouti; (FAO) 1961-1999, IWSR 2000-2018; All types;0.21;0.25;0.28;0.32;0.32;0.32;0.36;0.41;0.39;0.48
Djibouti; (FAO) 1961-1999, IWSR 2000-2018; Beer;0.05;0.09;0.09;0.11;0.1;0.08;0.11;0.17;0.13;0.22
Djibouti; (FAO) 1961-1999, IWSR 2000-2018; Wine;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.04;0.03
Djibouti; (FAO) 1961-1999, IWSR 2000-2018; Spirits;0.14;0.14;0.16;0.19;0.19;0.21;0.22;0.21;0.22;0.22
Djibouti; (FAO) 1961-1999, IWSR 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Dominica; (FAO) 1990-1999, (FAO, IWSR, Wine Institute) 2000-2017; All types;6.32;6.32;6.75;7;7.16;7.03;9.69;9.61;9.65;9.79
Dominica; (FAO) 1990-1999, (FAO, IWSR, Wine Institute) 2000-2017; Beer;1.64;1.64;2.07;2.27;2.22;2.22;2.2;2.18;2.13;2.08
Dominica; (FAO) 1990-1999, (FAO, IWSR, Wine Institute) 2000-2017; Wine;0.29;0.29;0.29;0.29;0.29;0.24;0.41;0.27;0.28;0.39
Dominica; (FAO) 1990-1999, (FAO, IWSR, Wine Institute) 2000-2017; Spirits;4.39;4.39;4.39;4.45;4.65;4.57;7.09;7.16;7.24;7.32
Dominica; (FAO) 1990-1999, (FAO, IWSR, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Dominican Republic; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;5.56;5.58;5.51;5.46;5.39;5.23;5.41;5.49;5.47;5.54
Dominican Republic; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;3.15;3.15;3;2.9;2.85;2.8;2.79;2.77;2.71;2.68
Dominican Republic; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.17;0.17;0.19;0.21;0.11;0.02;0.1;0.16;0.17;0.15
Dominican Republic; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.18;2.2;2.26;2.3;2.35;2.35;2.45;2.5;2.53;2.64
Dominican Republic; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.06;0.06;0.06;0.06;0.07;0.06;0.06;0.06;0.07;0.07
Ecuador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;3.05;3.03;2.89;3.14;3.69;3.81;3.78;3.92;3.99;3.97
Ecuador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;2.32;2.32;2.28;2.51;2.99;2.99;2.96;2.88;2.78;2.67
Ecuador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.09;0.08;0.07;0.06;0.06;0.08;0.05;0.07;0.05;0.07
Ecuador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.61;0.59;0.52;0.55;0.62;0.72;0.75;0.96;1.15;1.21
Ecuador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02
Egypt; (FAO) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; All types;0.14;0.14;0.13;0.15;0.18;0.19;0.19;0.19;0.19;0.21
Egypt; (FAO) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Beer;0.09;0.09;0.08;0.09;0.11;0.11;0.11;0.11;0.11;0.11
Egypt; (FAO) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02
Egypt; (FAO) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Spirits;0.04;0.04;0.04;0.04;0.06;0.07;0.06;0.07;0.06;0.07
Egypt; (FAO) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
El Salvador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;2.94;2.93;2.81;2.64;2.54;2.45;2.35;2.41;2.31;2.3
El Salvador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;1.5;1.5;1.38;1.26;1.16;1.07;1.04;1;0.93;0.92
El Salvador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.06;0.05;0.05;0.05;0.05;0.05;0.05;0.06;0.06;0.06
El Salvador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;1.37;1.38;1.37;1.32;1.32;1.32;1.25;1.35;1.32;1.32
El Salvador; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0
Equatorial Guinea; (FAO) 1983-1999, (GlobalData, IWSR) 2000-2018; All types;6.11;6.03;5.99;7.31;8.11;8.64;8.95;9.79;9.38;8.96
Equatorial Guinea; (FAO) 1983-1999, (GlobalData, IWSR) 2000-2018; Beer;3.83;3.83;3.49;4.93;5.75;5.97;6.25;5.71;5.35;4.56
Equatorial Guinea; (FAO) 1983-1999, (GlobalData, IWSR) 2000-2018; Wine;1.24;0.94;1.16;1.12;1.18;1.33;1.08;2.48;2.41;2.63
Equatorial Guinea; (FAO) 1983-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.99;1.2;1.28;1.19;1.12;1.28;1.56;1.53;1.57;1.73
Equatorial Guinea; (FAO) 1983-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.05;0.06;0.06;0.06;0.07;0.07;0.06;0.06;0.05;0.04
Eritrea; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; All types;0.93;0.93;0.96;0.97;1.03;1.03;1.03;1.03;1.19;1.13
Eritrea; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Beer;0.42;0.42;0.45;0.46;0.52;0.52;0.52;0.52;0.68;0.68
Eritrea; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Wine;0;0;0;0;0;0;0;0;0;0
Eritrea; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Spirits;0;0;0;0;0;0;0;0;0;0
Eritrea; (FAO) 1961-1999, (FAO, GlobalData) 2000-2017; Other alcoholic beverages;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.51;0.45
Estonia; (WDT) 1990-1999, Estonia 2000-2018; All types;11.65;10.81;13.08;15.61;16.72;17.29;17.75;16.96;16.27;14.97
Estonia; (WDT) 1990-1999, Estonia 2000-2018; Beer;4;3.61;4.93;5.69;6;6.14;6.38;6.19;5.98;5.87
Estonia; (WDT) 1990-1999, Estonia 2000-2018; Wine;1.92;1.9;2.17;2.35;2.25;2.18;2.18;2.01;1.85;1.65
Estonia; (WDT) 1990-1999, Estonia 2000-2018; Spirits;4.6;4.32;4.64;5.97;6.47;6.77;7.09;6.75;6.55;5.64
Estonia; (WDT) 1990-1999, Estonia 2000-2018; Other alcoholic beverages;1.13;0.98;1.34;1.6;2;2.2;2.1;2.01;1.89;1.81
Eswatini; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;7.68;7.68;7.65;7.64;7.49;7.28;7.36;6.49;6.89;6.49
Eswatini; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;2.45;2.45;2.42;2.41;2.14;2.05;2.13;1.82;1.91;1.91
Eswatini; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.05
Eswatini; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0;0;0;0;0.12;0;0;0;0.15;0.03
Eswatini; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;5.17;5.17;5.17;5.17;5.17;5.17;5.17;4.61;4.77;4.5
Ethiopia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;1.16;1.13;1.03;0.94;0.76;0.65;0.57;0.54;0.45;0.4
Ethiopia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.92;0.92;0.84;0.77;0.59;0.5;0.43;0.41;0.32;0.28
Ethiopia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0;0;0;0;0.01;0.01;0;0;0;0
Ethiopia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.2;0.17;0.16;0.15;0.15;0.13;0.12;0.11;0.11;0.1
Ethiopia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.03;0.03;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01
Fiji; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;2.71;2.7;2.64;2.64;2.63;2.67;2.53;2.43;2.31;2.42
Fiji; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;1.64;1.64;1.6;1.61;1.61;1.71;1.68;1.59;1.5;1.35
Fiji; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.29;0.27;0.25;0.26;0.25;0.21;0.2;0.19;0.18;0.18
Fiji; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.79;0.79;0.79;0.77;0.77;0.74;0.65;0.65;0.62;0.88
Fiji; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Finland; (STAKES) 1961-1989,  Finland 1990-2018; All types;8.23;8.37;8.37;8.44;8.52;8.76;9.08;9.27;9.81;9.72
Finland; (STAKES) 1961-1989,  Finland 1990-2018; Beer;3.76;3.97;4.04;4.11;4.13;4.17;4.28;4.27;4.61;4.47
Finland; (STAKES) 1961-1989,  Finland 1990-2018; Wine;1.59;1.72;1.75;1.74;1.75;1.8;1.84;1.89;1.89;1.86
Finland; (STAKES) 1961-1989,  Finland 1990-2018; Spirits;1.96;1.1;1.14;1.15;1.18;1.24;1.3;1.38;1.44;1.5
Finland; (STAKES) 1961-1989,  Finland 1990-2018; Other alcoholic beverages;0.91;1.58;1.44;1.43;1.45;1.54;1.65;1.74;1.87;1.89
France; (WDT) 1961-1999, INSEE/OFDT 2000-2018; All types;11.44;11.24;11.69;11.74;11.87;12.07;11.73;12.22;12.35;12.3
France; (WDT) 1961-1999, INSEE/OFDT 2000-2018; Beer;2.52;2.43;2.3;2.21;2.16;2.26;1.8;2.15;2.1;2.18
France; (WDT) 1961-1999, INSEE/OFDT 2000-2018; Wine;6.44;6.29;6.79;6.9;7.09;7.04;7.13;7.33;7.41;7.27
France; (WDT) 1961-1999, INSEE/OFDT 2000-2018; Spirits;2.3;2.35;2.41;2.43;2.42;2.47;2.5;2.54;2.64;2.65
France; (WDT) 1961-1999, INSEE/OFDT 2000-2018; Other alcoholic beverages;0.18;0.17;0.19;0.2;0.2;0.3;0.3;0.2;0.2;0.2
Gabon; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; All types;6.47;6.67;7.04;7.4;8.06;8.21;7.57;7.47;8.01;8.36
Gabon; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Beer;5.31;5.31;5.63;5.86;6.37;6.41;5.56;5.29;5.35;5.6
Gabon; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Wine;0.62;0.64;0.65;0.69;0.68;0.68;0.74;0.88;1.11;1.15
Gabon; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Spirits;0.5;0.67;0.7;0.79;0.93;1.03;1.16;1.2;1.48;1.55
Gabon; (FAO) 1961-1999, (FAO, GlobalData, IWSR, Wine Institute) 2000-2018; Other alcoholic beverages;0.04;0.05;0.05;0.07;0.08;0.09;0.11;0.09;0.07;0.05
Gambia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;2.67;2.67;2.61;2.58;2.69;2.68;2.65;2.74;2.7;2.82
Gambia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.21;0.21;0.14;0.13;0.23;0.23;0.21;0.2;0.16;0.15
Gambia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0;0;0;0;0;0;0.01;0.01;0.02;0.02
Gambia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.02;0.02;0.02;0.01;0.01;0.01;0;0;0.01;0.01
Gambia; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;2.44;2.44;2.44;2.44;2.44;2.44;2.44;2.53;2.51;2.64
Georgia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;7.45;7.25;6.88;6.85;6.95;6.49;6.76;7.23;8.29;7.72
Georgia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;1.71;1.71;1.6;1.38;1.39;1.38;1.38;1.3;1.99;1.47
Georgia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;3.19;2.94;2.66;2.71;2.59;2.04;2.32;2.81;3.25;3.22
Georgia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;2.52;2.58;2.6;2.74;2.95;3.06;3.05;3.12;3.04;3.03
Georgia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0;0
Germany; (WDT) 1961-1990, (DeStatis) 1991-1999, WHO 2000-2004,  (DeStatis ) 2005-2010,  (BSI) 2011-2018; All types;10.56;10.88;10.86;10.96;11.06;11.07;11.08;11.32;11.33;11.58
Germany; (WDT) 1961-1990, (DeStatis) 1991-1999, WHO 2000-2004,  (DeStatis ) 2005-2010,  (BSI) 2011-2018; Beer;5.57;5.67;5.66;5.77;5.88;5.88;5.88;6.01;6.01;6.21
