"person","date"
"z",2023-08-13
"z",2023-08-09
"z",2023-08-09
"z",2023-08-08
"z",2023-08-08
"z",2023-08-08
"z",2023-08-08
"z",2023-08-08
"z",2023-07-02
"z",2023-06-26
"z",2023-06-06
"z",2023-06-04
"z",2023-06-04
"z",2023-06-02
"z",2023-06-02
"z",2023-06-01
"z",2023-05-14
"z",2023-05-09
"z",2023-05-06
"z",2023-04-06
"z",2023-04-06
"z",2023-03-31
"z",2023-03-30
"z",2023-03-22
"z",2023-03-19
"z",2023-03-14
"z",2023-03-09
"z",2023-03-06
"z",2023-02-27
"z",2023-02-27
"z",2023-02-21
"z",2023-02-21
"z",2023-02-17
"z",2023-02-16
"z",2023-02-11
"z",2023-02-11
"z",2023-02-11
"z",2023-02-10
"z",2023-02-10
"z",2023-01-28
"z",2023-01-26
"z",2023-01-24
"z",2023-01-23
"z",2023-01-21
"z",2023-01-21
"z",2023-01-20
"z",2023-01-20
"z",2023-01-20
"z",2023-01-20
"z",2023-01-19
"z",2023-01-17
"z",2023-01-15
"z",2023-01-09
"z",2023-01-02
"z",2023-01-01
"z",2022-12-31
"z",2022-12-29
"z",2022-12-14
"z",2022-11-23
"z",2022-11-21
"z",2022-11-08
"z",2022-11-07
"z",2022-11-06
"z",2022-11-05
"z",2022-11-01
"z",2022-11-01
"z",2022-10-30
"z",2022-10-28
"z",2022-10-28
"z",2022-10-28
"z",2022-10-28
"z",2022-10-28
"z",2022-10-28
"z",2022-10-27
"z",2022-10-27
"z",2022-10-27
"z",2022-10-27
"z",2022-10-27
"z",2022-10-26
"z",2022-10-26
"z",2022-10-23
"z",2022-10-22
"z",2022-10-22
"z",2022-10-22
"z",2022-10-22
"z",2022-10-21
"z",2022-10-21
"z",2022-10-21
"z",2022-10-21
"z",2022-10-21
"z",2022-10-14
"z",2022-10-13
"z",2022-10-13
"z",2022-10-13
"z",2022-10-12
"z",2022-10-12
"z",2022-10-09
"z",2022-10-09
"z",2022-10-08
"z",2022-10-08
"z",2022-10-08
"z",2022-10-06
"z",2022-10-05
"z",2022-10-05
"z",2022-10-05
"z",2022-10-04
"z",2022-10-03
"z",2022-10-03
"z",2022-10-01
"z",2022-10-01
"z",2022-09-30
"z",2022-09-30
"z",2022-09-30
"z",2022-09-30
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-26
"z",2022-09-25
"z",2022-09-25
"z",2022-09-25
"z",2022-09-24
"z",2022-09-23
"z",2022-09-23
"z",2022-09-23
"z",2022-09-22
"z",2022-09-22
"z",2022-09-22
"z",2022-09-22
"z",2022-09-22
"z",2022-09-22
"z",2022-09-22
"z",2022-09-21
"z",2022-09-21
"z",2022-09-21
"z",2022-09-19
"z",2022-09-19
"z",2022-09-18
"z",2022-09-17
"z",2022-09-16
"z",2022-09-16
"z",2022-09-16
"z",2022-09-16
"z",2022-09-01
"z",2022-09-01
"z",2022-08-31
"z",2022-08-27
"z",2022-08-27
"z",2022-08-27
"z",2022-08-26
"z",2022-08-25
"z",2022-08-25
"z",2022-08-25
"z",2022-08-18
"z",2022-08-17
"z",2022-08-17
"z",2022-08-17
"z",2022-08-17
"z",2022-08-08
"z",2022-07-30
"z",2022-07-30
"z",2022-07-29
"z",2022-07-29
"z",2022-07-29
"z",2022-07-27
"z",2022-07-27
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-26
"z",2022-07-25
"z",2022-07-13
"z",2022-07-11
"z",2022-07-10
"z",2022-07-06
"z",2022-07-03
"z",2022-07-03
"z",2022-07-03
"z",2022-07-03
"z",2022-05-09
"z",2022-03-20
"z",2022-03-20
"z",2021-12-21
"z",2021-12-09
"z",2021-11-29
"z",2021-11-29
"z",2021-11-29
"z",2021-11-28
"z",2021-11-28
"z",2021-11-28
"z",2021-11-28
"z",2021-10-28
"z",2021-10-28
"z",2021-10-28
"z",2021-10-28
"z",2021-10-12
"z",2021-10-11
"z",2021-01-17
"z",2021-01-05
"z",2020-11-13
"z",2020-11-06
"z",2020-11-06
"z",2020-11-06
"z",2020-11-06
"z",2020-11-06
"z",2020-11-06
"z",2020-09-29
"z",2020-09-04
"z",2020-08-28
"z",2020-08-24
"z",2020-08-23
"z",2020-08-09
"z",2020-08-06
"z",2020-08-06
"z",2020-07-23
"z",2020-07-21
"z",2020-07-12
"z",2020-07-07
"z",2020-06-16
"z",2020-06-11
"z",2020-05-31
"z",2020-05-25
"z",2020-05-25
"z",2020-05-24
"z",2020-05-23
"z",2020-05-23
"z",2020-05-18
"z",2020-05-15
"z",2020-04-26
"z",2020-04-11
"z",2020-04-04
"z",2020-03-18
"z",2020-03-16
"z",2020-03-13
"z",2020-03-13
"z",2020-03-13
"z",2020-03-13
"z",2020-03-13
"z",2020-03-13
"z",2020-03-07
"z",2020-03-05
"z",2020-03-05
"z",2020-03-03
"z",2020-02-22
"z",2020-02-10
"z",2020-01-03
"z",2019-12-31
"z",2019-12-30
"z",2019-12-08
"z",2019-11-28
"z",2019-11-11
"z",2019-11-02
"z",2019-10-27
"z",2019-10-26
"z",2019-10-23
"z",2019-10-23
"z",2019-10-06
"z",2019-10-05
"z",2019-10-03
"z",2019-09-29
"z",2019-09-29
"z",2019-09-25
"z",2019-09-19
"z",2019-09-16
"z",2019-09-13
"z",2019-09-09
"z",2019-09-04
"z",2019-08-28
"z",2019-08-26
"z",2019-08-22
"z",2019-08-21
"z",2019-08-16
"z",2019-08-16
"z",2019-08-05
"z",2019-07-29
"z",2019-07-22
"z",2019-07-18
"z",2019-07-15
"z",2019-07-14
"z",2019-07-04
"z",2019-07-04
"z",2019-06-27
"z",2019-06-15
"z",2019-06-15
"z",2019-06-15
"z",2019-06-11
"z",2019-04-15
"z",2019-04-15
"z",2019-04-15
"z",2019-04-14
"z",2019-04-10
"z",2019-03-07
"z",2019-03-07
"z",2019-03-07
"z",2019-02-21
"z",2019-02-11
"z",2019-02-11
"z",2019-02-11
"z",2019-02-04
"z",2019-01-28
"z",2019-01-26
"z",2019-01-20
"z",2019-01-13
"z",2019-01-03
"z",2019-01-02
"z",2019-01-01
"z",2018-12-26
"z",2018-12-26
"z",2018-12-25
"z",2018-12-24
"z",2018-12-24
"z",2018-12-23
"z",2018-12-10
"z",2018-11-27
"z",2018-11-27
"z",2018-11-26
"z",2018-11-26
"z",2018-11-26
"z",2018-11-19
"z",2018-11-10
"z",2018-11-04
"z",2018-11-04
"z",2018-11-04
"z",2018-11-04
"z",2018-11-03
"z",2018-10-29
"z",2018-10-29
"z",2018-10-21
"z",2018-10-21
"z",2018-10-19
"z",2018-10-19
"z",2018-10-14
"z",2018-10-13
"z",2018-10-13
"z",2018-10-13
"z",2018-09-24
"z",2018-09-18
"z",2018-09-16
"z",2018-09-15
"z",2018-09-15
"z",2018-09-14
"z",2018-09-10
"z",2018-09-07
"z",2018-09-06
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-05
"z",2018-09-03
"z",2018-09-02
"z",2018-08-30
"z",2018-08-29
"z",2018-08-29
"z",2018-08-28
"z",2018-08-27
"z",2018-08-26
"z",2018-08-24
"z",2018-08-14
"z",2018-08-14
"z",2018-08-06
"z",2018-08-03
"z",2018-08-03
"z",2018-08-02
"z",2018-08-01
"z",2018-08-01
"z",2018-08-01
"z",2018-07-27
"z",2018-07-27
"z",2018-07-27
"z",2018-07-25
"z",2018-07-24
"z",2018-07-23
"z",2018-07-22
"z",2018-07-06
"z",2018-07-05
"z",2018-07-05
"z",2018-07-05
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-04
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-07-03
"z",2018-06-03
"z",2018-05-24
"z",2018-05-23
"z",2018-05-20
"z",2018-05-20
"z",2018-05-20
"z",2018-05-17
"z",2018-04-25
"z",2018-04-13
"z",2018-04-08
"z",2018-03-24
"z",2018-03-24
"z",2018-03-04
"z",2018-03-04
"z",2018-02-23
"z",2018-02-18
"z",2018-02-10
"z",2018-01-16
"z",2018-01-13
"z",2018-01-12
"z",2018-01-12
"z",2018-01-11
"z",2018-01-11
"z",2018-01-09
"z",2018-01-08
"z",2018-01-02
"z",2017-12-30
"z",2017-12-30
"z",2017-12-24
"z",2017-12-22
"z",2017-12-02
"z",2017-12-02
"z",2017-12-01
"z",2017-12-01
"z",2017-12-01
"z",2017-11-13
"z",2017-11-12
"z",2017-10-30
"z",2017-10-22
"z",2017-10-17
"z",2017-10-13
"z",2017-10-12
"z",2017-10-05
"z",2017-10-05
"z",2017-10-01
"z",2017-10-01
"z",2017-09-25
"z",2017-09-24
"z",2017-09-23
"z",2017-09-23
"z",2017-09-19
"z",2017-09-18
"z",2017-09-17
"z",2017-09-17
"z",2017-09-17
"z",2017-09-17
"z",2017-09-17
"z",2017-09-16
"z",2017-09-15
"z",2017-09-15
"z",2017-09-12
"z",2017-09-12
"z",2017-09-11
"z",2017-09-11
"z",2017-09-11
"z",2017-09-11
"z",2017-09-09
"z",2017-09-08
"z",2017-09-08
"z",2017-09-05
"z",2017-09-02
"z",2017-08-31
"z",2017-08-31
"z",2017-08-31
"z",2017-08-20
"z",2017-08-06
"z",2017-07-23
"z",2017-07-13
"z",2017-06-06
"z",2017-06-05
"z",2017-05-10
"z",2017-05-04
"z",2017-04-07
"z",2017-04-04
"z",2017-03-28
"z",2017-03-24
"z",2017-03-21
"z",2017-03-20
"z",2017-03-18
"z",2017-03-15
"z",2017-03-14
"z",2017-03-06
"z",2017-02-25
"z",2017-02-03
"z",2017-02-03
"z",2017-01-29
"z",2017-01-27
"z",2017-01-25
"z",2017-01-25
"z",2017-01-24
"z",2017-01-24
"z",2017-01-24
"z",2017-01-13
"z",2017-01-09
"z",2016-12-26
"z",2016-12-26
"z",2016-12-22
"z",2016-12-20
"z",2016-12-15
"z",2016-12-12
"z",2016-12-11
"z",2016-12-07
"z",2016-12-03
"z",2016-11-17
"z",2016-11-17
"z",2016-11-13
"z",2016-11-11
"z",2016-11-11
"z",2016-11-11
"z",2016-11-11
"z",2016-11-10
"z",2016-11-08
"z",2016-11-08
"z",2016-11-08
"z",2016-11-08
"z",2016-11-07
"z",2016-11-07
"z",2016-11-07
"z",2016-11-03
"z",2016-11-02
"z",2016-11-02
"z",2016-11-02
"z",2016-11-02
"z",2016-11-02
"z",2016-10-31
"z",2016-10-31
"z",2016-10-31
"z",2016-10-31
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-30
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-29
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
"z",2016-10-28
