name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
Tano Batak Sumatra,JBC Coffee Roasters,Medium-Light,United States,Lintong Growing Region,North Sumatra Province,5.44,94,July 2018,"Rich-toned, deeply and sweetly earthy. Chocolate fudge, white sage, blackberry, perique pipe tobacco, plumeria-like flowers in aroma and cup. Balanced, sweet-savory structure with vibrant, juicy acidity; delicate, satiny mouthfeel. The resonant, flavor-saturated finish displays notes of blackberry and tobacco in the short, plumeria and sage in the long, and deep chocolate throughout. ","This coffee was grown by indigenous Batak people, who have been involved in coffee production since the practice was brought to Sumatra by the Dutch in the late 19th century. Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex aromatic wood and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet hulling.” This is a particularly refined example of the type. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A multi-layered Sumatra cup with berry and tropical flowers as primary notes, balanced with fine pipe tobacco, sweet herbs and rich chocolate."
Flight Espresso,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,Colombia,5.44,93,July 2018,"Evaluated as espresso. Deeply sweet, richly tart. Lilac, cocoa powder, watermelon candy, grapefruit zest, cedar in aroma and small cup. Crisp, velvety mouthfeel; resonant, long finish that opens with watermelon and concludes with pink grapefruit zest, with cocoa and lilac ranged between. In three parts milk, nicely balanced cocoa and floral tones.","An espresso blend comprised of a washed-process Ethiopia Kayon Mountain; a natural-processed Ethiopia Banko; and a washed-process Colombia Bella Vista. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A compelling espresso blend with engaging sweet-tartness, rich aromatic wood notes, and delicately sweet floral tones redolent of lilac."
Zambia AAA/AA,Mystic Monk Coffee,Medium,United States,Zambia,Ethiopia,4.11,90,July 2018,"Richly sweet, roast-toned. Dried black cherry, vanilla, singed mesquite, baker’s chocolate, nutmeg in aroma and cup. Bittersweet structure with round, gentle acidity; velvety mouthfeel. The resonant finish leads with notes of black cherry and nutmeg in the short, rounding to vanilla-toned chocolate in the long, all supported by an inviting undercurrent of smoky aromatic wood notes.","Zambia is a rare origin now, owing to the ravages of drought. Nevertheless, this version reflects the Zambia profile of some years ago, round and softly balanced, with the Africa floral and citrus/berry notes subdued but still distinct. Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.","A chocolaty and fruit-toned coffee from Zambia in south-central Africa, deftly roasted to medium-dark."
Sumatra Batak Naga Saribu M-Plus,Kakalove Cafe,Medium,Taiwan,Lintong Growing Region,North Sumatra Province,3.68,93,July 2018,"Spicy, earth-toned, lightly roasty. Dark chocolate, fresh-turned earth, gently scorched oak, pipe tobacco, hints of peppercorn and sweet flowers in aroma and cup. Vibrantly sweet-savory in structure. Plush, velvety mouthfeel. Chocolate in particular carries into a round, resonant finish, complicated by continued hints of tobacco, earth and flowers.","Coffees like this one from the northern part of the Indonesian island of Sumatra are valued for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” Produced in the Lintong region south of Lake Toba, one of the oldest and arguably the most admired of Sumatra growing regions. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A resonant, complexly expressed Sumatra. A hint of roasty pungency moves the chocolate forward and deepens the sweet-savory earth and tobacco notes."
Ethiopia Guji Natural Dasaya G1,Small Eyes Cafe,Light,Taiwan,Guji Zone,Oromia Region,5.66,93,July 2018,"Fruit-toned, engagingly complex. Mulberry, musk, cocoa, freesia-like flowers, elderflower liqueur in aroma and cup. Balanced in structure (sweet, tart, savory); plush, lively mouthfeel. The resonant finish leads with fruit (think berry medley) in the short, while the long is characterized by spice-toned florals and a hint of sweet ferment.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Small Eyes Cafe is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.","A richly sweet, multi-layered natural-processed Ethiopia cup: berry- and cocoa-toned, with an inviting touch of sweet ferment, redolent of elderflower liqueur."
Dandelion Espresso Blend,Lin's Home Roasters,Medium-Light,Taiwan,Ethiopia,Brazil,8.46,90,July 2018,"Evaluated as espresso. Richly sweet, floral-toned. Magnolia, baker’s chocolate, salted cashew, marjoram, black cherry in aroma and small cup. Crisp yet velvety mouthfeel; dry, sweetly savory (herbaceous) finish. In three parts milk, bittersweet cocoa tones predominate, supported by ripe black cherry and salted cashew.","A blend of dried-in-the-fruit or “natural”-processed Ethiopia and Brazil coffees, a wet or washed-processed Ethiopia, and black honey-processed Costa Rica. Lin's Home Roasters is a Taiwan-based coffee studio focusing on quality and freshness across a range of blends and single-origin offerings. Lin’s vision is to convey happinesses and love through coffee. Visit https://www.facebook.com/LinsHomeRoasters/ for more information.","A complex, multi-layered espresso blend: floral and sweetly herbaceous in the straight shot; bittersweet and cocoa-toned in cappuccino-scaled milk."
Choice Caramel Dried Prune,Creation Food Co.,Medium-Light,Taiwan,Colombia,Ethiopia,6.02,91,July 2018,"Evaluated as espresso. Richly sweet, caramelly. Orange zest, dark caramel, fir, raisin, freesia in aroma and small cup. Full, satiny mouthfeel; wood-framed, caramel- and fruit-toned finish. In three parts milk, raisin and caramel notes are foregrounded, with spice-toned, freesia-like flowers underneath.","This is not an artificially flavored coffee. The blend name, Choice Caramel Dried Prune, refers to natural aroma and flavor notes that the blend aims to evoke. Creation Food Co. is a food service company with a specialty coffee division. It operates one of the few large-scale coffee production facilities in Taiwan. Visit www.creation.com.tw or call 0800-020-368 for more information.","A crisp, sweet-toned espresso blend: caramelly and fruit-toned, particularly floral in milk."
Espresso Blend,Pop Coffee Works,Medium-Light,Canada,Brazil,Peru,4.5,92,July 2018,"Evaluated as espresso. Crisply sweet, lively, chocolate-toned. Dark chocolate, peach, blood orange zest, wisteria, almond brittle in aroma and small cup. Crisp, satiny mouthfeel; gently drying, chocolaty finish. In three parts milk, notes of wisteria and peach are elevated, with almond brittle resurfacing in the long. ","A blend of natural-processed Brazil and washed-processed Ethiopia and Peru coffees, roasted for espresso. Pop Coffee Works is a Toronto-based specialty coffee roaster with an emphasis on seasonal coffees. Visit www.popcoffeeworks.com",A chocolaty espresso blend with bright notes of stonefruit and deeply sweet floral tones. Especially appealing in milk.
Cold Brew,Barefoot Coffee Roasters,,United States,Guatemala,Not Disclosed,0.12,90,July 2018,"A ready-to-drink bottled black coffee tested over ice. Crisp, rich, caramel-toned. Caramel, lemon zest, date, hazelnut, oak. Balanced structure with briskly sweet acidity; feathery-smooth mouthfeel. The finish is deeply sweet, richly caramelly, with hints of lemon zest and hazelnut. The addition of whole milk elevates caramel, already front and center, to dessert-like dominance.","This coffee tied for the fifth-highest rating in a tasting of ready-to-drink bottled black coffees for Coffee Review’s July 2018 tasting report. Sold in 12-ounce bottles. Prepared by the cold-brew method, which involves prolonged steeping of ground coffee in cold or room-temperature water and subsequent filtering. No additives or ingredients other than coffee and water. The green coffee used to produce the tested beverage is a single-origin coffee from Guatemala. Barefoot Coffee is an award-winning small-batch roasting company with a roastery, two cafés, a mobile coffee bar and robust coffee education programs in California’s Silicon Valley. Visit www.barefootcoffee.com or call 408-293-7200 for more information.","An easy-drinking, richly sweet cold-brew coffee, caramel- and nut-toned, with hints of lemon zest."
Brazil Fazenda Sertãozinho,Auto Coffee,Medium,Taiwan,São Sebastião Da Grama,São Paulo State,4.25,91,August 2018,"Evaluated as espresso. Crisply sweet, spice-toned. Roasted cashew, gardenia, apricot, cardamom, baker’s chocolate in aroma and small cup. Satiny mouthfeel; richly layered finish with notes of chocolate and faintly smoky aromatic wood. Crisply and persuasively chocolaty in three parts milk.","This coffee earned the fifth-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Produced at Fazenda Sertãozinho entirely of the Yellow Bourbon variety of Arabica and processed by the natural method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. AUTO Coffee is a small coffee roastery based in New Taipei City, Taiwan. Visit www.holdcafe.com for more information.","A gently roast-toned natural-processed Brazil espresso that leads with notes of sweet nut and fruit, supported by an appealing cardamom-like spice. The nut and fruit turn distinctly chocolaty in milk."
Natural Sidamo Twakok G1,Kakalove Cafe,Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,3.68,94,August 2018,"Evaluated as espresso. Richly floral, spice-toned. Lavender, baker’s chocolate, dried strawberry, sandalwood, lemon zest in aroma and small cup. Full, syrupy mouthfeel; dry, fruit-toned finish with hints of sandalwood. In three parts milk, chocolate notes turn toward sweet caramel and the spicy floral and dried berry notes amplify. ","This coffee tied for the second-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. “Twakok” comes from the words “tafac,” which means “sweet” and “kok,” which means “peach.” Southern Ethiopia coffees like this one are largely produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like most southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email kah[email protected] for more information.",This brisk natural-processed Ethiopia espresso presents a fruit note that’s a dead ringer for dried strawberries (supported by notes of lavender and sandalwood) and is especially attractive in cappuccino-scaled milk.
Costa Rica Cumbres Del Poas “Perla Negra” Natural,Magnolia Coffee,Medium-Light,United States,Sabanilla De Alajuela Growing Region,Costa Rica,5.29,94,August 2018,"Evaluated as espresso. Bright, richly sweet, fruit- and cocoa-toned. Pomegranate, dark chocolate, narcissus, hazelnut, vanilla in aroma and small cup. Plush, creamy mouthfeel; sweetly tart finish with notes of pomegranate and hazelnut. Resonant and flavor-saturated in three parts milk; chocolate and tart fruit lead, with narcissus-like flowers ringing into the long finish.","This exceptional coffee was selected as the No. 27 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee tied for the second-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Produced by Oscar and Francisca Chacon entirely from trees of the Caturra variety of Arabica; certified organically grown. Processed by “natural” or dry method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Magnolia Coffee is a Charlotte, North Carolina-based specialty roaster whose motto is “Craft Roasted. Truly Delicious. Socially Conscious.” Magnolia Coffee focuses on direct-trade coffees that make a difference in the lives of the coffee harvesters and their communities.Visit www.magnoliacoffeeco.com or call 704-651-7726 for more information.",A brightly expressed fruit and chocolate bomb with ballast from notes of rich nut and sweet flowers.
Ethiospro Blend,Revel Coffee,Medium-Light,United States,Ethiopia,Sabanilla De Alajuela Growing Region,5.22,94,August 2018,"Evaluated as espresso. Bright, floral, spice-toned. Spearmint, black cherry, cedar, tangerine zest, plumeria-like flowers in aroma and small cup. Plush and buttery in mouthfeel. Flavor consolidates to cocoa-toned citrus in a resonant finish. In three parts milk, an elegant cocoa surfaces, with supporting notes of sweet flowers and a hint of pungent cedar.","This coffee tied for the second-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. A blend of natural-processed coffees from the Shakiso, Guji, Oromia and Sidamo growing regions of Ethiopia. Southern Ethiopia coffees like these are largely produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. The components of this blend are dry-processed or “natural” coffees, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount—a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.","An espresso blend trifecta that leads in equal parts with fruit, flowers and herbs (think black cherry, plumeria and spearmint, respectively)."
Ethiopia Gede Natural,Wonderstate Coffee,Medium-Light,United States,Shakiso District,Guji Zone,5.29,93,August 2018,"Evaluated as espresso. Delicate, lively, chocolate-toned. Dark chocolate, macadamia nut, date, cedar, honeysuckle in aroma and small cup. Crisp, velvety mouthfeel; clean, richly drying finish with notes of date and cedar. Balanced in three parts milk, with notes of dark chocolate supported by rich aromatic wood.","This coffee tied for the third-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. USDA organic-certified. Southern Ethiopia coffees like this one are largely produced from traditional Ethiopian varieties of Arabica long grown in the region. Processed by “natural” or dry method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Like most southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com for more information.","A crisp, clean natural-processed espresso from Ethiopia, as richly chocolate-toned in the straight shot as it is in milk."
Gesha Village Lot #25,Small Eyes Cafe,Medium-Light,Taiwan,Guji Zone,Oromia Region,21.24,95,August 2018,"Evaluated as espresso. Rose-like flowers, chocolate fudge, cannabis flower, black cherry, fresh-cut cedar in aroma and small cup. Syrupy, vibrant mouthfeel; richly drying, sweet-savory finish. This coffee levitates in three parts milk, with rich notes of rose-like flowers ensconced in deep chocolate and a cannabis-like muskiness.","This exceptional coffee was selected as the No. 24 coffee on Coffee Review’s list of the Top 30 Coffees of 2018.  This coffee tied for the highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety of Arabica continues to distinguish itself as one of the world’s rarest and most unique coffees. Although the Gesha originated in Ethiopia, it was “discovered” by the coffee world in 2004 growing in Boquete, Panama, and Panama continues to dominate the expanding world of Gesha. This particular version, however, is the outcome of efforts to commercialize Gesha in the region from which it originally came. It was grown in western Ethiopia by farmers Adam and Rachel Overton and their indigenous Meanit culture collaborators from seed selected from wild trees in the nearby Gori Gesha forest. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the soft fruit residue has been removed, as is the case with wet-processed or “washed” coffees. Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.","A strikingly original natural-processed Ethiopia Gesha, with high-toned floral notes, a suggestion of musky cannabis, and a complex, exhilarating presence in milk."
YCFCU Banko Gotiti Coop G1,Taokas Coffee,Medium-Dark,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,6.02,95,August 2018,"Evaluated as espresso. Lush, complex, richly sweet-savory. Peach, fine musk, cocoa powder, freesia-like flowers, pungent frankincense in aroma and small cup. Plump, syrupy mouthfeel; clean, crisp, cocoa-toned finish. The cocoa notes from the small cup bloom into dark chocolate in cappuccino-scaled milk, nicely complicated by flowers and frankincense.","This coffee tied for the highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Southern Ethiopia coffees like this one are largely produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the soft fruit residue has been removed, as is the case with wet-processed or “washed” coffees. Helen Chen, of Taokas Studio Coffee, is a Taiwan-based nano-roaster whose specialty coffees are available via her Facebook shop: https://goo.gl/4YPoAd.","A natural-processed Ethiopia roasted for espresso that shimmers with an intricately layered range of sensation: sweet, savory, spice, floral, chocolate, fruit, expressed both in the straight shot and in milk."
Yemen Haraaz,Dragonfly Coffee Roasters,Medium-Light,United States,Central Yemen,Yirgacheffe Growing Region,10.29,94,August 2018,"Evaluated as espresso. Apricot, lychee, sandalwood, cashew butter, honeysuckle in aroma and small cup. Creamy-smooth mouthfeel; rich finish that surfaces herb notes suggesting marjoram, along with lychee and apricot. In three parts milk, this coffee is fruit-driven, its tartness tempered by honeysuckle and sandalwood notes.","This coffee tied for the second-highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Haraz (also Haraaz, other spellings) is a celebrated coffee growing region in north-central Yemen, west of the capital of San’a. Although Ethiopia is the botanical home of Coffea arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries, and Yemeni coffee is still grown from ancient cultivars and sun-dried, usually on the roofs of stone houses. This is a particularly refined example of the type. Dragonfly Coffee is a Boulder, Colorado-based micro-roaster that produces high-quality coffees and supports worthy causes. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.","A powerhouse espresso from this ancient origin, assertively fruit-toned and elegantly floral."
Costa Rica Perla Negra,Durango Coffee Company,Medium,United States,Sabanilla De Alajuela Growing Region,Costa Rica,4.98,95,August 2018,"Evaluated as espresso. Deeply rich, crisply sweet, fruit- and chocolate-toned. Dried mango, chocolate fudge, narcissus-like flowers, roasted almond, fresh-cut cedar in aroma and small cup. Lively, silky smooth mouthfeel; resonant, flavor-saturated finish. The chocolate-forward presentation in three parts milk is nuanced by notes of mango and fresh-cut cedar.","This exceptional coffee was selected as the No. 14 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. This coffee tied for the highest rating in a tasting of natural-processed single-origin espressos for Coffee Review’s August 2018 tasting report. Produced by Oscar and Francisca Chacon entirely from trees of the Caturra variety of Arabica; certified organically grown. Processed by the “natural” or dry method, meaning the beans were dried inside the entire fruit rather than after the soft fruit residue has been removed, as is the case with wet-processed or “washed” coffees. Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.","A bold, lively, expressive natural-processed Costa Rica espresso, with suggestions of tropical fruit and chocolate fudge as the richly sweet throughlines."
Espresso 1849 Blend,States Coffee & Mercantile,Medium,United States,Guatemala,Ethiopia,5.29,94,August 2018,"Evaluated as espresso. Vibrant and engaging; richly sweet-tart. Pomegranate, dark chocolate, blood orange zest, narcissus, sandalwood in aroma and small cup. Plush, syrupy mouthfeel; crisp, resonant finish. In three parts milk, both chocolate and floral tones bloom, supported by hints of spicy citrus zest and aromatic wood notes.","A blend of two coffees: a washed-processed Guatemala and a natural-processed Ethiopia. Founded by roaster Keith Gehrke in 2015, States Coffee is a single-location community-focused coffee shop in downtown Martinez, California, featuring coffee roasted in-house and artisan-made goods. Visit www.statescoffee.com for more information.","A complex, floral- and chocolate-driven espresso blend, as compelling in milk as in the straight shot."
Ethiopia Deri Kochoha,States Coffee & Mercantile,Medium-Light,United States,West Guji Zone,Oromia Region,5.29,93,August 2018,"Sweetly and gently tart. Lavender, brown sugar, lemon zest, honeydew melon, fresh pipe tobacco in aroma and cup. Delicately sweet-tart and juicy in structure; lightly syrupy in mouthfeel. Flavor consolidates but rings on in a resonant finish.","From the Deri Kochoha mill in the Hagere Maryame District, a little south of the famous Yirgacheffe region, where coffees largely from trees of varieties long grown in the region are subject to classically rigorous, traditional processing and drying procedures. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Founded by roaster Keith Gehrke in 2015, States Coffee is a single-location community-focused coffee shop in downtown Martinez, California, featuring coffee roasted in-house and artisan-made goods. Visit www.statescoffee.com for more information.",A good coffee choice for those who value softly stated brightness with delicate melony and floral aromatics.
Guatemala Finca Las Terrazas,States Coffee & Mercantile,Medium-Light,United States,Huehuetenango Department,Guatemala,5.29,93,August 2018,"Sweet yet zesty, vivacious. Honey, peach, ripe lime zest, black tea, a hint of parsley in aroma and cup. Sweetly brisk, lively in structure; light but satiny mouthfeel. Flavor consolidates around floral honey and peach in a crisply sweet-toned finish.","Produced at Finca Terrazas, entirely from trees of the San Ramon variety of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Founded by roaster Keith Gehrke in 2015, States Coffee is a single-location community-focused coffee shop in downtown Martinez, California, featuring coffee roasted in-house and artisan-made goods. Visit www.statescoffee.com for more information.",A subtly original and pleasing Guatemala: sweet and honey-toned with a delicately brisk complement of aromatics.
Suyusama Program Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Nariño Department,Southwestern Colombianar,5.58,93,August 2018,"Crisp, deeply resonant, classic. Dried rose and lavender, cherry, roasted pistachio, a hint of marjoram in aroma and cup. The structure is sweet-tart with a savory bottom; syrupy and full in mouthfeel. Pistachio and flowers carry into a long, deep, perfumy finish.","Produced by some of the 900 small-holding farmers participating in the Suyusama Program, a project focused on coffee quality and environmental and socio-economic sustainability. From trees of the Colombia, Castillo and Caturra varieties. Processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A coffee with strong character situated on the intersection of sweet, tart and savory, with a crisp array of aromatics suggesting, in part, a fragrant potpourri of dried flowers."
Static Peru Valle de Chingama Peru,Espresso Republic,Medium-Light,United States,Cajamarca Region,Northern Peru,4.1,92,August 2018,"Deeply pungent and richly sweet. Lavender, baker’s chocolate, oak, ripe fig, a hint of ginger in aroma and cup. Roundly sweet-tart and juicy in structure; full and satiny in mouthfeel. Baker’s chocolate carries distinctly and pleasingly into an otherwise short finish.  ","Produced by small-holding farmers in northern Peru from trees of the Bourbon, Caturra and Typica varieties of Arabica. Processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A fine Peru, with the round, pungently chocolaty character of the type supported by crisp floral top notes and a plump, smooth mouthfeel."
Static Chirinos Peru,Espresso Republic,Medium-Light,United States,Cajamarca Region,Northern Peru,4.1,90,August 2018,"Richly low-toned, gently zesty. Cedar, baker’s chocolate, grapefruit zest, apple, a hint of magnolia-like flowers in aroma and cup. Sweetly and quietly tart in structure, with a brisk edge. Plump mouthfeel. Flavor consolidates in a sweet, though rather drying, finish.","Produced by some of the over 700 small-holding farmers of the La Prosperidad de Chirinos cooperative in northern Peru from trees of the Bourbon and Caturra varieties of Arabica. Processed by the wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A quietly rich Peru, sweet yet briskly zesty."
Kenya Muranga Gondo,Temple Coffee and Tea,Medium-Light,United States,Murang'A County,Central Kenya,6.17,93,August 2018,"Spice-toned, richly sweet, deeply savory. White peach, fine musk, freesia, almond, myrrh in aroma and cup. Delicate, sweet-savory structure, with bright, juicy acidity. The resonant, richly drying finish leads with white peach and musk in the short, rounding to notes of sweet almond with a hint of myrrh in the long.","Produced by the New Kiriti Farmers Cooperative Society and processed at the Gondo Wet Mill. Produced entirely from trees of the much-admired, Bourbon-derived SL28 variety of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A pretty Kenya cup with bright notes of stone fruit and spicy florals throughout, supported by an undercurrent of rich, aromatic myrrh."
Costa Rica Esteban Zamora,Temple Coffee and Tea,Medium-Light,United States,Tarrazu Growing Region,Costa Rica,6.03,91,August 2018,"Balanced, richly sweet-savory. Lemon verbena, roasted cacao nib, date, honeysuckle, cinnamon in aroma and cup. Crisply sweet in structure, with brisk acidity; velvety mouthfeel. The sweetly herbaceous finish consolidates to notes of lemon verbena and cocoa-toned cinnamon. ","Produced by Esteban Zamora at La Cruz de Tarrazu and processed by the wet or washed method (fruit skin and pulp are removed before drying). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A classic wet-processed coffee from Costa Rica: crisp, balanced, sweetly herb-toned."
Kenya,Evie's Cafe,Medium,Taiwan,Nyeri Growing Region,South-Central Kenya,5.64,92,August 2018,"Sweetly savory, chocolate-toned. Baker’s chocolate, singed cedar, gardenia, plum, molasses in aroma and cup. Crisply sweet-savory structure; delicate, satiny mouthfeel. The richly drying finish centers around baker’s chocolate and pleasantly smoky aromatic wood notes.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Evie’s Café, based in Chia-Yi Taiwan, specializes in fine roasted coffees as well as pour-overs and cold-brews. Visit https://m.facebook.com/eviescafe88/ for more information.","A friendly Kenya cup that leads with crisp chocolate and deep floral notes, with a medium-dark roast profile that encourages a pleasing suggestion of smoky aromatic wood."
Finca El Socorro Maracaturra,PT's Coffee Roasting Co.,Medium-Light,United States,Palencia,Fraijanes Plateau Growing Region,6.61,95,September 2018,"Richly sweet, balanced, intricately layered. Frankincense, almond nougat, honeysuckle, dried black cherry, roasted cacao nib in aroma and cup. Balanced, sweet-savory structure with juicy acidity; plush, syrupy mouthfeel. The resonant, cocoa-toned finish is supported by notes of dried black cherry and honeysuckle.","This exceptional coffee was selected as the No. 12 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Produced entirely from trees of the Maracaturra variety of Arabica. Maracaturra is a cross between the workhorse, compact-growing variety Caturra (itself a mutant of the heirloom Bourbon) and the rare, huge-beaned Maragogipe, making it a parallel variety to the better-known Pacamara, a cross between Maragogipe and Pacas (also a mutant selection of Bourbon). This is a wet-processed or “washed” version, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.","A lovely example of the big-beaned Maracaturra variety: sweetly savory with notes of deep stone fruit and rich, sweet florals."
Ethiopia Kochere Debo Washed Gellana,Kakalove Cafe,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,94,September 2018,"Delicately rich, crisply sweet. Star jasmine, lemon zest, peach, sandalwood, almond in aroma and cup. Roundly and sweetly tart in structure; lightly silky in mouthfeel. Lemon, peach and sandalwood in particular carry into a long finish, deeply layered finish. ","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp are removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Almost all Yirgacheffe coffees are produced by villagers on small, garden plots interplanted with food and other subsistence crops. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","An intricately classic expression of the great Yirgacheffe wet-processed type, lemony and floral with a fragrant sandalwood base."
