name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
ASOPCAFA Colombia,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.67,91,May 2019,"Soft, balanced: cocoa and nuts. Baking chocolate, tangerine zest, nut (hazelnut, pistachio), fresh-cut pine in aroma and cup. Delicately brisk in structure; light though silky mouthfeel. Finish is resonant but drying, consolidating around unsweetened chocolate and nut."
Ka’u Champagne Natural,Paradise Roasters,Light,United States,Hawai'I,17.59,94,May 2019,"Vibrant, juicy, brightly fruit-toned and spicily floral. Wild strawberry, honey, dried gardenia, pistachio butter, pink peppercorn in aroma and cup. Sweet-tart structure with crisp, fresh acidity; viscous, lively mouthfeel. The finish amplifies rich floral and fruit with support from deep spice and earthy honey suggestions."
Monarch Gesha,Equator Coffees,Medium-Light,United States,Hawai'I,37.04,94,May 2019,"Floral and sweetly herbaceous with richly framed depth. Jasmine, spearmint, chocolate, watermelon, fine musk in aroma and cup. Deeply sweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish centers around chocolate and jasmine with musk undertones."
Puna Barrel-Aged,Big Island Coffee Roasters,Medium-Light,Hawai'i,Hawai'I,10.93,93,May 2019,"Sweetly spice-toned, richly chocolaty. Salted chocolate, hop flowers, Concord grape, ginger, a hint of aged grappa in aroma and cup. Sweet-savory structure with fruit-forward, wine-toned acidity; full, syrupy mouthfeel. The finish leads with Concord grape and ginger in the short, followed by hops in the long, all bound by a throughline of savory-sweet chocolate and aged grappa."
Laura’s Reserve SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,28.2,93,May 2019,"Classic, balanced, rich-toned. Honeysuckle, red currant, toffee, dried coconut, mango in aroma and cup. Sweetly tart in structure with bright acidity; velvety-smooth mouthfeel. The finish consolidates to toffee-toned red currant in the short and coconut in the long."
Ka’u Natural,Nine Point Coffee,Medium-Light,Taiwan,Hawai'I,21.6,93,May 2019,"Richly fruit-toned, complexly layered. Cacao nib, jujube (red date), marjoram, freesia-like flowers, fresh pipe tobacco in aroma and cup. Sweetly tart structure with bright acidity; lightly satiny mouthfeel. The rich, long finish is flavor-saturated, consolidating to cocoa, fresh tobacco and marjoram."
Honey Typica,Rusty's Hawaiian,Medium-Light,Hawai'i,Hawai'I,10.58,92,May 2019,"Crisply sweet, fruit- and spice-toned. Apricot, oak, baker’s chocolate, freesia, sandalwood in aroma and cup. Deeply sweet structure with a tart lift and lively acidity; satiny-smooth mouthfeel. The finish centers around crisp stone fruit and aromatic wood notes, with a hint of spicy flowers underneath."
Ka’u Typica Natural,Three Chairs Specialty Turkish Coffee,Medium-Light,United States,Hawai'I,14.11,92,May 2019,"Crisply sweet-tart, balanced. Rose hips, almond nougat, orange zest, apricot, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety-smooth mouthfeel. The finish consolidates to pretty notes of nougat and apricot, with a hint of cedar. "
Colombia Las Joyas: Fidencio Martinez Lot,Beanfruit Coffee Co.,Medium-Light,United States,Colombia,4.7,91,May 2019,"High-toned sweetness, crisply tart, pleasantly salty-edged. Dried apricot, tamarind, salted chocolate, cedar, magnolia in aroma and cup. Gently low-toned with balanced tart and salty/savory structure; briskly juicy acidity. Full, buttery mouthfeel. Flavor simplifies in the finish, with hints of salted cocoa and dry cedar carrying into the long."
Colombia Tolima Monteverde Estate Natural Wush Wush,Dou Zhai Coffee & Roast,Medium,Taiwan,Colombia,17.07,94,May 2019,"Unorthodox but coherent and compelling. Pungent rose, fresh fennel frond, ripe cantaloupe, walnut, marshmallow in aroma and cup. Roundly sweet-savory in structure, with an impressively smooth, plush mouthfeel. Rose-like flowers prevail in a deeply rich finish. "
Ethiopia Oromia Guji Washed,Dou Zhai Coffee & Roast,Medium-Light,Taiwan,Ethiopia,8.53,94,May 2019,"Very sweet, floral, deeply rich. Date, tangerine zest, fresh pipe tobacco, freesia-like flowers, dark chocolate in aroma and cup. Complex and deeply rich structure; roundly tart acidity. Full, syrupy mouthfeel. The finish is dry but rings with rich tobacco and unsweetened chocolate far into the long."
Yemen Matari,Baba Java Coffee,Medium,United States,Yemen,12.35,93,May 2019,"Very sweet, richly perfumed, wood-framed. Pipe-tobacco, lychee fruit, spice box, freesia-like flowers, amber and musk in aroma and cup. Richly, densely composed structure, crisply tart acidity. Impressively syrupy-smooth mouthfeel. The finish consolidates pleasantly into a slightly drying though rich-toned, spicy tobacco."
Ethiopia Sidamo Sasaba,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,92,June 2019,"Richly sweet, cocoa-toned. Dark chocolate, apricot, hazelnut, lilac, maple syrup in aroma and cup. Balanced, bittersweet structure with rounded acidity; satiny-smooth mouthfeel. The finish is thoroughly chocolaty with undertones of apricot and hazelnut."
Ethiopia Gedeb Worka Sakaro,Direct Coffee,Medium-Light,Taiwan,Ethiopia,9.39,95,June 2019,"Deeply sweet, intensely pungent. Dark chocolate, pink grapefruit zest, wisteria, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with lively, juicy acidity; syrupy mouthfeel. The finish is long and satisfying: flavor-saturated, floral-, chocolate- and fruit-toned, harmoniously balanced."
Colombia Pink Bourbon,Paradise Roasters,Medium-Light,United States,Colombia,7.33,94,June 2019,"Elegant, tropical, rich-toned. Strawberry guava, honeysuckle, almond, sandalwood, cacao nib in aroma and cup. Richly sweet structure with bright, vibrant acidity; lush, syrupy mouthfeel. Lingering notes of strawberry and honeysuckle in the delicate finish."
Crystalina,Steady State Roasting Company,Medium-Light,United States,Colombia,5.88,94,June 2019,"Juicy, bright, deeply and richly sweet. Dried strawberry, toffee, lilac, myrrh, maple syrup in aroma and cup. Sweet-tart structure with vivacious acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of strawberry and toffee."
Kenya Kiambu Gititu AA,Kakalove Cafe,Medium-Light,Taiwan,Kenya,5.1,94,May 2019,"Richly savory-sweet, balanced, layered and lively. Red currant, maple syrup, honeysuckle, sandalwood, dark chocolate in aroma and cup. Deeply sweet-savory structure with juicy, confident acidity; full, syrupy mouthfeel. Long, flavor-saturated finish centers around red fruit and sweet-spicy floral notes."
Hawaiian Kona 100%,Cafe Virtuoso,Medium,United States,Hawai'I,17.64,93,May 2019,"Cleanly fruit-toned, richly sweet-tart. Raspberry, freesia, oak, pistachio, cacao nib in aroma and cup. Sweetly tart structure with gentle, rounded acidity; full, velvety mouthfeel. Raspberry and freesia notes animate the elegant, crisply sweet finish."
Guatemala Finca El General BlackLand Lot,Kakalove Cafe,Medium,Taiwan,Guatemala,2.55,92,May 2019,"Evaluated as espresso. Deep, rich, chocolaty. Dried apricot, dark chocolate, hazelnut, molasses, cedar in aroma and small cup. Satiny smooth mouthfeel; crisp, sweetly nut-toned finish. Chocolate leads in three parts milk, followed by notes of molasses and hazelnut."
Ninety Plus Gesha Estates JBC Custom Lot #252,JBC Coffee Roasters,Medium-Light,United States,Panama,43.65,94,May 2019,"A complex and overwhelming aromatic immersion. Pink bubblegum, winter spices, salted fudge, candied ginger, elderflower, herbal liqueur (yellow chartreuse?) in aroma and cup. The structure is dramatic: basic tastes are all disconcertingly intense, including sweet, salt and savory, yet they all somehow layer and satisfy. Very full and syrupy mouthfeel with a spicy drying edge. The finish is resonant, slightly bittersweet though chocolaty and rich."
La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,26.46,96,May 2019,"Elaborate, vibrant, exhilarating. Dark chocolate truffle, strawberry guava, candied ginger, lilac, myrrh in aroma and cup. Crisply sweet-tart structure with bright, succulent acidity; very syrupy mouthfeel. The finish is zesty in the short and cocoa- and floral-toned in the long."
Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,5.58,92,May 2019,"Richly bittersweet with pleasing savory undertones. Milk chocolate, hop flowers, apricot, narcissus, sandalwood in aroma and cup. Savory-sweet structure with brisk acidity; plush, satiny mouthfeel. Crisp, resonant finish with notes of milk chocolate and hop flowers. "
ASOPCAFA Espresso,JBC Coffee Roasters,Medium-Light,United States,Colombia,4.67,91,May 2019,"Evaluated as espresso. Round, balanced; softly and sweetly tart. Mango, orange zest, pistachio, cedar, cocoa. Satiny mouthfeel. Cedar, nut and cocoa carry into a resonant, lightly drying finish. Custardy orange and chocolate dominate in three parts milk. "
Rukera Espresso,JBC Coffee Roasters,Medium-Light,United States,Kenya,6.23,97,July 2019,"Evaluated as espresso. Exquisitely aromatic: high-toned, savory and impossibly floral. Toffee, dried black currant, myrrh, lavender, fine musk in aroma and small cup. Plush, syrupy mouthfeel; big, complex finish that is equal parts sweet and savory. In cappuccino-scaled milk, a whole new mid-palate is created, something akin to a mushroom custard."
Colombia Pink Bourbon El Corazon,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,8.82,93,July 2019,"Rich-toned, deeply floral. Honeysuckle, nectarine, pink peppercorn, oak, Meyer lemon zest in aroma and cup. Vibrantly sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Spice-toned finish with pretty floral and citrus notes."
Ethiopia Hambela 1 Organic Natural Alaka,SkyTop Coffee,Medium-Light,United States,Ethiopia,4.41,92,June 2019,"Deeply sweet, fruit-toned, with a hint of sweet ferment. Baker’s chocolate, plum, narcissus, barrel-aged rum, cedar in aroma and cup. Sweet-toned structure with brisk acidity; full, satiny mouthfeel. Richly drying, flavor-saturated finish. "
Peru Antonio Regalado Diaz El Huyacan La Palma,Big Shoulders Coffee,Medium-Light,United States,Peru,6.17,93,June 2019,"Floral-toned, richly sweet. Wisteria, toffee, lime zest, frankincense, apricot in aroma and cup. Bittersweet structure with confident, citrusy acidity; delicate, silky mouthfeel. The crisp finish consolidates to notes of toffee and lime zest with undertones of frankincense."
Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Guatemala,4.67,93,June 2019,"Deeply rich, equally sweet and savory. Brown sugar, hop flowers, toasted coconut, chestnut, sumac in aroma and cup. Sweet-tart-savory structure with vibrant, juicy acidity; viscous, satiny mouthfeel. The resonant finish consolidates to coconut and chestnut with undertones of brown sugar."
Peru Natural Jose Herrera Lot 21,Kakalove Cafe,Medium-Light,Taiwan,Peru,3.68,93,June 2019,"Richly fruit-toned, chocolaty. Dried raspberry, dark chocolate, sandalwood, almond, freesia-like flowers in aroma and cup. Sweetly tart in structure with round, gentle acidity; full, syrupy mouthfeel. Fruit- and chocolate-centered in the finish as well, with pretty freesia notes."
Guatemala Acatenango Washed Lot 503 Espresso,Kakalove Cafe,Medium,Taiwan,Guatemala,2.83,93,June 2019,"Evaluated as espresso. Cocoa-toned, deeply sweet. Cocoa powder, date, cedar, apricot, blood orange zest in aroma and small cup. Big, creamy mouthfeel; the finish is redolent of cocoa and citrus zest. In cappucino-scaled milk, cocoa tones are amplified, as are notes of stone fruit and citrus."
Ethiopia Yirgacheffe Chelelektu Natural,Dragonfly Coffee Roasters,Medium-Light,United States,Ethiopia,5.29,96,August 2019,"Deeply sweet, elegantly rich. Mulberry, sandalwood, tangerine zest, jasmine, baking spices in aroma and cup. Sweetly tart in structure with high-toned, juicy acidity; plush, syrupy mouthfeel. The seemingly infinite finish fulfills the promise of the cup, leading with deep berry and citrus zest, rounding to floral-toned spice."
Kenya Kimaruri,Caffe Luxxe,Medium-Light,United States,Kenya,6.76,94,August 2019,"Crisply sweet, richly savory, vibrant. Red currant, jasmine, maple syrup, sandalwood, cacao nib in aroma and cup. The structure is harmoniously sweet-tart-savory with juicy, lively acidity. Plush, syrupy mouthfeel. The richly drying finish centers around red currant and sandalwood with a hint of jasmine in the long."
Kenya Handege,Greater Goods Coffee Roasters,Medium,United States,Kenya,5.58,94,August 2019,"Very sweet, tart, musky and rich. Sugarcane, orange zest, ripe peach, gardenia, myrhh in aroma, with elegant tobacco and cocoa also emerging in the cup. Structure is deeply sweet-savory, with juicy acidity; gently drying, syrupy mouthfeel. The resonant finish is crisp and rich: cocoa, tobacco, florals and citrus zest carry into the long."
Kauai Estate Reserve Sun-Dried Typica,Kauai Coffee Company,Medium-Light,Hawai'i,Hawai'I,21.16,90,August 2019,"Balanced, crisply sweet. Cocoa, peach, oak, almond, grapefruit zest in aroma and cup. Sweet-toned, brisk structure with a savory edge; soft, plush mouthfeel. Peach, nut and oak carry into a sweet-toned though roundly drying finish. "
Ethiopia Sidamo G4 Natural Espresso,Small Eyes Cafe,Medium-Light,Taiwan,Ethiopia,2.56,93,August 2019,"Deeply rich, sweet, complex. Cocoa nib, ripe persimmon, tangerine zest, gardenia and myrrh in aroma and small cup. Rich, lightly velvety mouthfeel; crisp, cocoa-toned finish. In three parts milk, aromatics carry through distinctly with balanced pungency and sweetness."
Ethiopia Guji Queen Honey,Pro Aroma Enterprise Coffee,Medium-Light,Taiwan,Ethiopia,13.23,93,July 2019,"Richly sweet, fruit-forward. Dried peach, baker’s chocolate, jasmine, cedar, molasses in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp, satiny mouthfeel. Long, lingering finish that centers around dried peach and chocolate notes, supported by cedar-like wood."
Ethiopia Civet Sidama Papilio Natural,Good Chance Biotechnology,Medium-Light,Taiwan,Ethiopia,90.83,93,July 2019,"Richly sweet, fruit- and floral-toned. Blueberry, narcissus, agave syrup, sandalwood, dark chocolate in aroma and cup. Sweet in structure with gentle, round acidity; plushly syrupy mouthfeel. The resonant finish leads with notes of blueberry and narcissus in the short, rounding to aromatic wood-framed chocolate in the long."
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,4.82,93,July 2019,"Sweetly floral and richly resinous. Cedar, lemon zest, dried jasmine, cacao nib, loquat in aroma and cup. Delicate, sweetly brisk in structure; silky and lively in mouthfeel. Flavor consolidates around cedar and cocoa in a crisp, drying finish."
Ethiopia Washed Guji Dimtu Espresso,Kakalove Cafe,Medium-Dark,Taiwan,Ethiopia,3.19,93,July 2019,"Evaluated as espresso. Richly roast-toned; floral and chocolaty. Gently scorched cedar, baker’s chocolate, narcissus-like flowers, mango, spearmint in aroma and small cup. Satiny mouthfeel; chocolate and spicy roast notes carry in a dry but lasting finish. The crisp chocolate dominates in three parts milk, with continuing hints of flowers and mango-like fruit."
Barichu Double,Barrington Coffee Roasting,Medium-Light,United States,Kenya,11.76,94,July 2019,"Richly sweet, deeply savory, elegantly balanced. Dried apricot, maple syrup, narcissus, sandalwood, cacao nib in aroma and cup. Sweet-tart-savory in structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish leads with notes of dried apricot and cacao nib in the short, rounding to narcissus and sandalwood in the long."
Rukera Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,6.23,97,July 2019,"Lavish, captivatingly complex, deeply savory-sweet. Candycap mushroom, lilac, dark chocolate, dried coconut, frankincense in aroma and cup. Structurally, the savory component, which is typically an undertone, occupies the top of the aromatic and flavor range, with deep sweetness (fruit, florals) underneath. The mouthfeel is lively and richly syrupy. The seemingly eternal finish is a quiet mirror of the cup."
Kenya Kiambu Uklili AA,Kakalove Cafe,Medium,Taiwan,Kenya,4.96,95,August 2019,"High-toned, richly savory-sweet. Red currant, hop flowers, dark chocolate, oak, maple syrup in aroma and cup. Rich, savory-sweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Resoundingly long, flavor-saturated finish."
Ethiopia Guji Shakisso Natural Lot 24,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.68,94,August 2019,"Cleanly fruit-toned, deeply rich. Dried raspberry, toffee, molasses, cedar, narcissus-like flowers in aroma and cup. Sweet-toned structure with brisk acidity; creamy-smooth mouthfeel. Impressively resonant, multi-layered finish."
Ethiopia Washed Yirgacheffe Nafasha Lot,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,94,August 2019,"Crisp, citrusy, deeply sweet. Lemon verbena, cacao nib, agave syrup, cedar, freesia-like flowers in aroma and cup. Sweet-tart structure with high-toned, lively acidity; full, viscous mouthfeel. The finish consolidates to notes of citrus-toned cocoa and freesia."
Finca San Antonio El Salvador,Dinwei Cafe,Light,Taiwan,El Salvador,16.7,92,August 2019,"Mild though intricately deep; sweet, savory, rich. Cocoa, hemp-seed, scorched clove, fig, gardenia-like flowers in aroma and cup. Quiet but well-composed sweet/savory structure; light though nicely satiny mouthfeel. The finish is resonant and gently drying. "
Mario Aguilar Grand Cru El Salvador,Deeper Roots Coffee,Medium,United States,El Salvador,7.35,91,August 2019,"Deeply sweet, pungent, with a very slight roasty edge. Cedar, dark chocolate, candied walnut, dried peach, narcissus-like flowers in aroma and cup. Sweetly and roundly brisk in structure; lightly syrupy mouthfeel. Chocolate dominates in the short finish, cedar in the long."
José Flores El Salvador Natural,Duluth Coffee,Medium,United States,El Salvador,9.92,91,August 2019,"A deep sweetness and considerable complexity resonate impressively inside a bitter-savory structure. Hints of blueberry and guava, spearmint, cocoa, rose, a hint of clove in aroma and cup. Fully, syrupy mouthfeel. Flavor carries persuasively into a rich though bittersweet finish."
Ethiopia Yirgacheffe Worka Gotiti Natural,94 Fresh Coffee,Medium-Light,Taiwan,Ethiopia,6.34,93,August 2019,"Fruit-driven, sweetly savory. Dried raspberry, baker’s chocolate, hop flowers, grappa barrel, cedar in aroma and cup. Bittersweet structure with round, accessible acidity; full, viscous mouthfeel. Finish consolidates to notes of raspberry and lily with a hint of grappa barrel."
Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,Medium,United States,Ethiopia,6.17,94,August 2019,"Complex, chocolaty, richly sweet. Dark chocolate, guava, butterscotch, honeysuckle, ginger blossom in aroma and cup. Sweetly tart structure with high-toned acidity; crisp, syrupy mouthfeel. Long, resounding finish that carries over all the notes from the cup, in particular foregrounding guava and dark chocolate."
Ethiopia Natural Yirgacheffe Blue Donkey Lot,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.25,94,August 2019,"Delicately fruit-toned. Persimmon, rose hips, cacao nib, lemon verbena, saltwater taffy in aroma and cup. Balanced, sweet-savory structure with fruit-driven acidity; vibrant, syrupy mouthfeel. The finish consolidates to persimmon and rose hips with cocoa undertones."
Guatemala Guayabales Single-Origin Espresso,Temple Coffee Roasters,Medium,United States,Guatemala,5.58,93,August 2019,"Evaluated as espresso. Nuanced, floral-toned, richly sweet. Wisteria, chocolate fudge, almond brittle, cedar, black cherry in aroma and small cup. Lightly syrupy, crisp mouthfeel; gently drying, cocoa-and wood-framed finish. Notes of wisteria are foregrounded in three parts milk, supported by chocolate fudge and almond."
Kenya Chania Estate,Temple Coffee Roasters,Medium,United States,Kenya,6.76,92,August 2019,"Roast-rounded, savory-sweet. Ripe tomato, baker’s chocolate, scorched oak, toffee, magnolia in aroma and cup. Balanced, sweet-savory structure with gentle acidity; crisp, satiny mouthfeel. The resonant finish consolidates to notes of sweet tomato and baker’s chocolate with a hint of magnolia."
Guatemala Los Santos,Temple Coffee Roasters,Medium-Light,United States,Guatemala,5.58,92,August 2019,"Bittersweet, rich-toned. Date, grapefruit zest, hazelnut, cedar, freesia-like flowers in aroma and cup. Sweet-toned structure with brisk acidity; full, syrupy mouthfeel. The finish is framed by aromatic wood notes (cedar) with date and hazelnut undertones and a throughline of grapefruit zest."
Geisha Village Auction Lot #11,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,22.71,94,August 2019,"Subtly and sweetly intense: flowers and cocoa. Lavender, cocoa, honey, candied nut, lemon zest, much more in aroma and cup. Richly and sweetly pungent in structure; light though plush and satiny in mouthfeel. A quiet, layered finish consolidates around lemon and lavender. "
Panama Finca Kalithea Natural Geisha,Kakalove Café,Medium-Light,Taiwan,Panama,21.24,96,September 2019,"Exceptionally high-toned, delicately fruit-centered, intricately balanced. Mulberry, coconut, sandalwood, dark chocolate, lilac in aroma and cup. Richly sweet in structure with balanced, juicy acidity; delicate but plush, mouth-filling texture. The finish is a gentle reminder of everything the cup offers, in particular mulberry, coconut, and lilac."
Panama Hacienda La Esmeralda Super Mario 6 Geisha,Dragonfly Coffee Roasters,Medium-Light,United States,Panama,26.46,95,September 2019,"Impeccably floral and cocoa-toned with a savory throughline. Chocolate fudge, wisteria, Asian pear, hazelnut butter, white peppercorn in aroma and cup. Richly sweet-savory structure with floral acidity; velvety-smooth, viscous mouthfeel. The finish centers around spice-toned chocolate (think dark chocolate with peppercorns) and wisteria."
Gesha Village Natural Lot #19,GK Coffee,Medium-Light,Taiwan,Ethiopia,38.4,94,September 2019,"Rich, complex, very deeply sweet. Honey, lilac, guava, frankincense, cacao nib in aroma and cup. Richly sweet-tart structure with high-toned, juicy acidity; crisp, full, satiny mouthfeel. The rich-toned finish is both sweetly floral and invitingly tart."
Gesha Village 1931 Lot 27,Mudhouse Coffee Roasters,Medium-Light,United States,Ethiopia,22.05,94,September 2019,"Richly sweet-savory, deeply floral-toned. Honeysuckle, bergamot, toffee, myrrh, a hint of fresh coriander in aroma and cup. Balanced, structure (sweet-savory) with citrusy acidity; plump, satiny mouthfeel. The finish consolidates around notes of honeysuckle and myrrh with a hint of toffee in the long."
Ethiopia Sidamo Gora Kone,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,5.58,94,September 2019,"Subtly and sweetly rich, deeply savory. Goji berry, cocoa nib, myrrh, fine musk, gardenia in aroma and cup. Sweet-savory structure with juicy acidity; crisp, lightly satiny mouthfeel. The finish resonates with perfume and cocoa notes, with deep richness into the long."
Kebele Village Espresso,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.03,94,September 2019,"Evaluated as espresso. Bright, sweetly tart, floral- and nut-toned. Nougat, cherry, wisteria, almond wood, sweet lime in aroma and small cup. Nicely syrupy, crisp mouthfeel. The finish simplifies around an attractively tart and nutty resonance. The florals, tart elegance and rich-toned nuttiness carry with grace and delicacy into three parts milk. "
Kebele Village Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.03,93,September 2019,"Richly sweet-tart, high-toned. Cacao nib, pie cherry, lilac, cedar, nougat in aroma and cup. Sweet-tart structure with juicy, vibrant acidity; crisp, velvety mouthfeel. The resonant finish centers around notes of tart stonefruit and cacao nib."
Panama Finca San Sebastian,Jackrabbit Java,Medium-Light,United States,Panama,3.53,94,August 2019,"Rich-toned, chocolaty, exquisitely balanced. Chocolate fudge, pink grapefruit zest, cherry, sandalwood, narcissus in aroma and cup. Sweetly tart structure with bright, juicy acidity; plush, syrupy mouthfeel. The finish consolidates to notes of chocolate fudge and citrus-toned sandalwood."
Murang’a Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.5,93,August 2019,"Richly and pungently zesty. Blackberry, baker’s chocolate, mixed peppercorn, violet, lemon zest in aroma and cup. Brisk and deeply rich-toned structure with a lemon and floral inflection; full, syrupy mouthfeel. Lemon and violet with a hint of cocoa in the long, dry finish. "
Murang’a Kenya Espresso,JBC Coffee Roasters,Medium-Light,United States,Kenya,5.5,93,August 2019,"Briskly and richly pungent. Dark chocolate, date, cherry tomato, violet, hints of herbs and spices (sage, cumin, cinnamon) in aroma and small cup. Light and silky, though gently drying mouthfeel. Crisp, quietly resonant finish. Distinctively tart, floral-toned and rich in three parts milk."
Yirgacheffe Gedeb G1 Natural,MJ Bear Coffee,Light,Taiwan,Ethiopia,4.96,94,August 2019,"High-toned, sweetly tart, deeply savory. Jasmine, dark chocolate, lemon verbena, pink grapefruit zest, candycap mushroom in aroma and cup. Balanced sweet-tart-savory structure; lyrical, syrupy-smooth mouthfeel. The flavor-saturated finish leads with citrus notes (lemon verbena, grapefruit) in the short, rounding to deep chocolate and sweet mushroom in the long."
Ethiopia Sidama Naia Bomb Natural Vertical Reserve,Coffeebar,Medium-Light,United States,Ethiopia,5.88,93,October 2019,"Sweetly fruit-toned, accessibly fermenty. Raspberry coulis, dark chocolate, hop flowers, wine barrel, pink peppercorn in aroma and cup. Richly bittersweet in structure with a tangy acidity; crisp, lightly syrupy mouthfeel. The resonant finish is all fruit and chocolate enhanced by a quiet sweet ferment."
Ethiopia Guji Uraga,Pedestrian Coffee,Medium-Light,United States,Ethiopia,5.29,93,October 2019,"Crisp, delicate, richly sweet. Red plum, cocoa nib, jasmine, sandalwood, brown sugar in aroma and cup. Sweet-toned structure with vivacious acidity; plush, syrupy mouthfeel. Cocoa-toned plum and a hint of jasmine animate the quiet finish."
Gesha Village Lot #85 Natural,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,17.61,95,October 2019,"High-toned, multi-layered, intriguingly complex. Wisteria, pineapple, myrrh, cocoa nib, pink grapefruit zest in aroma and cup. Richly sweet-tart structure with vibrant, juicy acidity; crisp yet syrupy mouthfeel. The resounding, flavor-laden finish is both deeply floral and richly sweet-tart."
Ethiopia Natural Yirgacheffe Banko Gotiti,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.6,94,October 2019,"Richly sweet, cleanly fruit-driven, floral-toned. Raspberry jam, dark chocolate, gardenia, cedar, maple syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp though syrupy mouthfeel. A resonant finish centers around raspberry and chocolate with hints of cedar."
Guatemala Washed Finca El General Pache M-Plus Espresso,Kakalove Cafe,Medium,Taiwan,Guatemala,3.54,93,October 2019,"Evaluated as espresso. Floral-toned, richly sweet. Honeysuckle, cashew, oak, fig newton, pink peppercorn, dark chocolate in aroma and small cup. Crisp, satiny mouthfeel; resonant, floral-toned finish with a hint of spice notes. Three parts milk foregrounds sweet nut and dark chocolate, backed up by sweet spice notes suggesting pink peppercorn."
Guatemala Washed Finca El General Pache,Kakalove Cafe,Medium-Light,Taiwan,Guatemala,3.54,92,October 2019,"Sweet-toned, richly nutty. Cashew butter, date, baker’s chocolate, magnolia, oak in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. The richly drying finish consolidates around notes of cashew and magnolia."
Guatemala Washed Finca El General Lot Summer End Espresso,Kakalove Cafe,Medium,Taiwan,Guatemala,2.83,92,October 2019,"Evaluated as espresso. Sweet-toned, balanced. Black cherry, fir, hazelnut, baker’s chocolate, gardenia in aroma and small cup. Full, creamy body; gentle, chocolaty finish. Dark chocolate notes are amplified in three parts milk, with notes of black cherry and hazelnut underneath."
Colombia La Esperanza Natural XO,Durango Coffee Company,Medium,United States,Colombia,8.8,92,October 2019,"Delicate, richly sweet, fruit-centered. Dried strawberry, baker’s chocolate, magnolia, fresh-cut fir, maple syrup in aroma and cup. Sweet-toned structure with brisk acidity; smooth, satiny mouthfeel. The finish consolidates to notes of dried strawberry and fresh-cut fir with crisp chocolate undertones."
Indonesia Sumatra Gayo Espresso,Simon Hsieh's Aroma Roast Coffees,Dark,Taiwan,Indonesia,8.5,94,October 2019,"Evaluated as espresso. Very rich and deeply sweet. Dark chocolate, dried cherry, singed cedar, lilac, candy cap mushroom with layered complexity in aroma and small cup. Very thick, syrupy mouthfeel; the finish consolidates to smoky cocoa and sweetly savory mushroom. In three parts milk, the cup is very chocolaty, sweet and floral with an umami throughline. "
Ethiopia Limu Nano Challa Lot #10,Branch Street Coffee Roasters,Medium-Light,United States,Ethiopia,5.73,94,September 2019,"Vibrant, floral, richly sweet. Jasmine, white peach, almond, oak, lime zest in aroma and cup. Sweetly tart structure with juicy, bright acidity; plush, syrupy mouthfeel. The finish resonates with notes of white peach and jasmine with undertones of oak."
Geisha XO,Bird Rock Coffee Roasters,Medium,United States,Colombia,26.46,96,September 2019,"Rich-toned, deeply chocolaty and fruity with savory undertones. Chocolate fudge, ripe wild strawberry, honey, macadamia nut, fine Roquefort cheese. Sweet-savory in structure enlivened by bright, juicy acidity; full, syrupy mouthfeel. Savory-sweet finish with notes of fine Roquefort, strawberry, and chocolate fudge."
