Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
Eastern Mediterranean Region,,2008,,39077,331687,13299,9805,14643,29397,12890,6942,112089,142804,34426,206962,455857,2716,1856,177610,1098,30959,33456,31645,80108,7142,25098,,1075590,93470,152057,116364,156689,18332,38721,11133
Eastern Mediterranean Region,,2009,,39379,343319,13267,11306,14477,32380,13096,7095,110233,144517,34177,205859,451449,2777,446,174083,1114,30903,34186,29166,83503,7141,25029,,1096521,96332,153445,118949,159844,17893,40150,11505
Eastern Mediterranean Region,,2010,,39024,354148,13037,16540,14283,31776,13560,7180,107765,145614,33757,202856,447104,2831,2771,167884,1131,40374,34903,32364,87122,7076,34181,,1115520,99331,154700,121230,162575,17531,41614,11887
Eastern Mediterranean Region,,2011,,38338,364949,12888,16939,13975,31976,14141,7188,107162,146964,33308,199717,439547,2892,649,163676,1129,40093,35586,48916,89927,7012,33715,,1133173,101731,156155,123366,165301,17168,43110,12240
Eastern Mediterranean Region,,2012,,32761,377589,12911,17946,13836,32262,14666,7149,106516,147949,32758,196924,432801,2959,1423,157858,1178,29972,36251,95835,93739,6984,23752,,1159792,104653,158379,126242,168834,16961,44690,12651
Eastern Mediterranean Region,,2013,,32355,391895,12841,12945,13867,33620,15108,7070,104447,147556,32622,195790,428144,3044,1345,152109,1144,29759,36953,91027,97883,7000,23432,,1187882,107963,160815,127781,171208,16840,46343,13180
Eastern Mediterranean Region,,2014,,31713,406264,12840,14150,13786,33065,15530,7094,103819,147484,32242,193544,421562,3135,1004,147321,1285,30131,37634,147779,102793,6395,23393,,1214418,111910,163118,130542,174566,16773,47946,13632
Eastern Mediterranean Region,,2015,,31384,420729,12812,14790,13643,33836,15908,7089,103270,147820,31715,191969,410835,3212,1359,142778,2507,29797,38229,134748,108313,6350,22882,,1254187,116380,165716,134141,178803,16664,49508,14165
Eastern Mediterranean Region,,2016,,31281,434638,12797,15740,13510,33507,16168,7170,102749,148665,31327,189224,400829,3302,832,139180,1241,30132,38974,141334,113130,6370,22914,,1282864,120161,167872,137204,182564,16549,51206,14626
Eastern Mediterranean Region,,2017,,30362,447954,12759,17047,13300,33617,16415,7307,101512,150396,30838,184577,390806,3389,1379,137910,1164,29543,39615,104914,116174,6359,22125,,1309941,122845,169862,139933,186118,16412,52940,14992
Eastern Mediterranean Region,,2018,,28886,462562,12728,15455,13000,33644,16638,7487,99134,151388,30265,178277,373898,3467,439,128872,1343,27932,40170,82519,120527,6314,20839,,1341112,126318,171997,142751,189422,16033,54796,15468
Eastern Mediterranean Region,,2019,,28368,477361,12672,15985,12816,32173,16961,7645,97622,152634,29893,176015,365459,3555,504,124048,1168,27165,40638,50455,124976,6304,20273,,1374977,130058,174282,145929,193249,15834,56679,15983
Eastern sub-Saharan Africa,,1990,,68952,96815,7210,198584,9872,12334,187701,282,211146,34688,35210,312749,256815,1514,233,320660,1902,132221,15312,68596,29457,8579,127412,,207194,21638,44814,47884,77460,6518,7209,2031
Eastern sub-Saharan Africa,,1991,,68848,98694,7213,201798,9872,12963,235838,292,214772,35272,35150,312853,258147,1548,521,326781,1931,132133,15662,36033,30018,8568,127357,,211535,22094,45475,48801,78836,6620,7454,2080
Eastern sub-Saharan Africa,,1992,,69877,100534,7259,200325,9889,17868,289430,305,217997,35890,35284,314173,260574,1580,0,332959,1965,133093,16029,4588,30586,8606,128330,,215874,22589,46028,49660,80162,6737,7722,2133
Eastern sub-Saharan Africa,,1993,,68776,101892,7239,203122,9835,14481,346775,316,220759,36309,35493,313219,263651,1604,59,332508,1997,132805,16358,1108,31029,8533,128083,,219587,22995,46404,50278,81095,6819,7985,2182
Eastern sub-Saharan Africa,,1994,,67378,103301,7237,201736,9651,14609,405404,326,224010,36761,35937,311993,267729,1631,796,347233,2025,131504,16681,517782,31441,8459,126844,,222293,23372,46720,50952,82102,6923,8233,2221
Eastern sub-Saharan Africa,,1995,,66901,105433,7169,203125,9485,16215,462706,337,227803,37257,36134,310771,272469,1667,51,341047,2047,129575,17057,18727,32149,8383,125003,,227443,23857,47362,51975,83555,7041,8493,2281
Eastern sub-Saharan Africa,,1996,,66455,107166,7117,206572,9372,15979,515519,346,229041,37844,36317,307411,277035,1704,63,337555,2063,126639,17418,17268,32762,8287,122192,,230618,24308,47709,52923,85043,7193,8793,2332
Eastern sub-Saharan Africa,,1997,,65820,109088,7083,211160,9347,16447,562962,357,227957,38323,36743,303684,281411,1738,3138,335029,2068,122974,17779,29986,33402,8319,118668,,233916,24726,47986,53817,86400,7351,9119,2389
Eastern sub-Saharan Africa,,1998,,65741,111457,7136,216941,9217,17881,603384,370,227147,39007,37352,299900,285988,1770,192,326347,2083,119804,18238,24206,34202,8203,115637,,237511,25253,48341,54995,88174,7536,9489,2459
Eastern sub-Saharan Africa,,1999,,65722,112982,7104,220360,9095,17816,636032,380,224819,39278,37455,295836,289754,1792,71,316309,2087,116369,18435,74738,34609,8156,112392,,238603,25588,48399,56093,89794,7681,9843,2512
Eastern sub-Saharan Africa,,2000,,65728,114078,7079,223306,9076,18882,661732,386,223772,39346,37223,290306,292713,1805,1096,302605,2100,111614,18533,67948,34881,8153,107937,,239520,25841,48366,56808,90914,7777,10200,2568
Eastern sub-Saharan Africa,,2001,,65195,114723,7147,239279,9057,18349,679086,390,219217,39265,36608,282201,294878,1806,194,292589,2102,106073,18518,18029,35038,7951,102745,,239731,25920,48092,57271,91485,7695,10514,2606
Eastern sub-Saharan Africa,,2002,,63928,117158,7138,231786,9009,19385,689633,404,214552,39695,36772,277437,297289,1836,300,278079,2124,101991,18736,18007,35591,7952,98919,,243317,26315,48435,58084,92767,7632,10976,2686
Eastern sub-Saharan Africa,,2003,,63904,120024,7202,230226,9051,19898,693387,420,210213,40251,37115,272258,298998,1876,355,266653,2144,96593,19051,19474,36256,7971,93738,,247146,26739,48792,59112,94271,7648,11399,2756
Eastern sub-Saharan Africa,,2004,,63335,122995,7286,223030,9120,20090,687898,438,205891,41021,37511,267652,301297,1917,815,256766,2168,92417,19326,17627,36867,8010,89733,,251903,27168,49353,60137,95814,7684,11855,2830
Eastern sub-Saharan Africa,,2005,,63681,125996,7438,197475,9241,20578,664738,458,201093,41568,37431,264225,304730,1953,377,249027,2199,90599,19591,15316,37395,8098,88064,,255784,27572,49741,61030,97174,7713,12318,2905
Eastern sub-Saharan Africa,,2006,,64046,128882,7571,182684,9435,21660,621300,477,197826,41987,36975,261357,306203,1986,1342,244493,2232,86758,19773,2597,37997,8140,84365,,260452,28022,50123,61567,98343,7703,12798,2984
Eastern sub-Saharan Africa,,2007,,63019,131850,7669,168529,9453,21367,566145,505,195109,42481,36479,258741,307713,2023,309,239926,2269,83480,19959,4318,38597,8200,81219,,265082,28455,50440,62118,99525,7676,13257,3057
Eastern sub-Saharan Africa,,2008,,61560,134981,7773,153527,9284,22412,513173,540,192156,42688,36070,254653,308160,2069,442,232887,2293,79493,20137,5107,39351,8198,77351,,270829,28955,50829,62781,100720,7634,13786,3150
Eastern sub-Saharan Africa,,2009,,58845,138688,7814,156059,9241,22999,475086,587,188722,42852,35677,249528,307394,2122,142,226416,2309,75552,20417,8671,40263,8172,73506,,276520,29660,51266,63555,102047,7576,14324,3248
Eastern sub-Saharan Africa,,2010,,58094,143051,7787,151315,9103,22908,445763,602,185619,43227,35230,245035,306358,2159,816,218705,2314,82392,20727,5593,41271,8133,80068,,282019,30353,51909,64591,103581,7537,14935,3364
Eastern sub-Saharan Africa,,2011,,53967,147487,7854,134580,9106,23785,418592,634,183380,43709,34807,241003,304978,2215,208,215729,2320,80461,21042,4724,42484,8125,78190,,289662,31154,52729,65294,105576,7506,15584,3486
Eastern sub-Saharan Africa,,2012,,52551,151941,7906,122702,8969,24233,388546,656,181803,44090,34035,237001,302616,2263,335,209863,2316,67936,21281,5450,43700,8138,66029,,297744,31912,53552,65993,107434,7447,16211,3607
Eastern sub-Saharan Africa,,2013,,47828,156935,7954,119020,8967,23772,356626,689,181003,44451,33530,232419,299658,2316,592,205804,2317,65718,21529,6992,44924,8111,63842,,305116,32814,54369,67103,109820,7390,16857,3728
Eastern sub-Saharan Africa,,2014,,47322,161565,7997,108234,8902,24116,328499,721,181142,45020,33030,229745,296009,2378,160,203837,2333,63792,21886,7435,46017,8136,61945,,312449,33656,55181,68166,112143,7354,17454,3833
Eastern sub-Saharan Africa,,2015,,45893,165944,7980,111721,8780,24885,306051,749,180610,45354,32567,225258,290358,2439,745,199538,2333,61086,22266,5591,47154,8075,59266,,320394,34483,55932,69263,114367,7294,18115,3950
Eastern sub-Saharan Africa,,2016,,44902,171046,8005,116646,8580,25549,288827,790,178539,45886,32463,220361,287260,2507,610,195555,2330,58398,22809,6051,48532,8017,56595,,329038,35397,56766,70951,117327,7226,18850,4078
Eastern sub-Saharan Africa,,2017,,43830,176747,7923,117110,8339,26300,271144,833,175380,46355,32312,214988,280706,2582,274,193275,2326,55947,23408,8011,50018,7994,54149,,337749,36314,57706,73334,120767,7183,19678,4229
Eastern sub-Saharan Africa,,2018,,43088,183748,8010,115418,8240,27058,254460,878,173071,47033,32272,212314,275837,2676,507,186029,2335,53563,24145,6760,51957,8029,51772,,348628,37504,59037,75209,123490,7141,20579,4425
Eastern sub-Saharan Africa,,2019,,42412,190070,8065,119425,8104,26882,246385,920,171461,47712,32313,210094,270671,2766,835,179653,2336,51564,24794,2851,53758,8038,49774,,358715,38598,60212,76980,126027,7120,21430,4608
Ecuador,ECU,1990,,266,6238,189,805,600,1190,66,25,2081,2488,350,4568,4009,408,4,2794,6,1166,486,7,1146,88,1085,3,10142,1087,1713,1473,3488,49,797,168
Ecuador,ECU,1991,,276,6751,195,513,634,1305,92,28,2170,2746,356,4691,3984,437,0,2947,6,1177,556,0,1338,94,1093,0,10982,1245,1767,1596,3675,50,849,185
Ecuador,ECU,1992,,272,6887,193,590,656,1388,102,29,2017,2739,347,4603,4039,419,22,2588,6,1146,582,2,1442,94,1064,2,10971,1334,1714,1623,3657,47,892,190
Ecuador,ECU,1993,,263,6963,190,757,635,1468,128,30,1880,2725,329,4503,4134,402,460,2246,6,1116,607,1,1523,94,1037,,10889,1428,1663,1651,3629,43,948,195
Ecuador,ECU,1994,,258,7143,189,351,636,1588,160,31,1760,2767,315,4455,4297,396,0,1991,7,1106,646,0,1630,95,1028,0,10895,1572,1613,1703,3651,38,1006,202
Ecuador,ECU,1995,,264,7258,188,146,620,1733,103,33,1667,2781,297,4475,4660,383,3,1830,7,1112,684,54,1727,96,1034,4,10718,1714,1560,1740,3643,33,1059,208
Ecuador,ECU,1996,,264,7685,189,63,620,1884,140,35,1656,2881,292,4576,4970,400,36,1712,8,1162,746,8,1908,101,1081,2,11082,1963,1595,1849,3768,27,1112,225
Ecuador,ECU,1997,,259,7721,182,101,629,1999,225,35,1471,2763,267,4405,5047,400,174,1559,8,1168,748,1,1937,88,1088,1,10609,2091,1537,1844,3714,22,1150,229
Ecuador,ECU,1998,,264,8174,182,584,641,2159,241,37,1439,2857,266,4456,5025,422,139,1423,8,1219,799,0,2094,84,1134,0,11050,2378,1603,1938,3847,19,1230,251
Ecuador,ECU,1999,,263,8452,178,1243,608,2258,298,34,1406,2837,253,4466,4970,438,17,1274,8,1220,812,0,2211,77,1135,0,11359,2650,1675,1980,3886,17,1304,273
Ecuador,ECU,2000,,263,8674,174,1184,590,2365,351,33,1348,2874,253,4472,4857,440,81,1153,8,1217,839,0,2314,73,1133,0,11488,2922,1687,1988,3845,14,1365,290
Ecuador,ECU,2001,,232,8802,173,861,589,2505,474,32,1226,2954,211,4431,4688,444,108,1067,9,1157,869,0,2291,70,1072,0,11382,3095,1712,2045,3899,14,1404,303
Ecuador,ECU,2002,,238,9989,184,410,644,2728,564,37,1258,3300,250,4755,4542,468,95,1045,9,1175,1001,0,2664,74,1078,0,12815,3696,1911,2294,4318,15,1481,351
Ecuador,ECU,2003,,232,10763,188,207,667,2904,636,39,1244,3507,263,4898,4359,476,22,1014,10,1127,1087,0,2884,74,1024,0,13616,4117,2048,2476,4607,15,1546,386
Ecuador,ECU,2004,,222,11309,190,99,661,3065,727,39,1210,3681,257,4998,4176,482,27,974,10,1069,1168,0,3023,72,960,0,14160,4360,2176,2635,4841,15,1609,418
Ecuador,ECU,2005,,212,12035,193,32,673,3228,862,43,1223,4006,267,5121,3936,489,25,911,11,1021,1277,0,3236,73,902,,15031,4700,2329,2813,5112,15,1651,454
Ecuador,ECU,2006,,204,12616,191,21,681,3287,988,43,1161,4189,276,5205,3791,474,49,836,11,966,1331,0,3383,73,840,,15516,4946,2432,2940,5296,15,1691,485
Ecuador,ECU,2007,,198,13076,191,14,685,3304,945,43,1076,4425,281,5253,3676,462,18,747,11,908,1401,0,3494,74,782,,15814,5152,2496,3032,5432,15,1735,506
Ecuador,ECU,2008,,190,13517,208,4,726,3324,979,47,1021,4682,286,5280,3512,449,66,691,12,856,1472,25,3623,75,729,0,16177,5369,2585,3115,5579,14,1797,527
Ecuador,ECU,2009,,181,13795,193,6,689,3278,1023,48,982,4821,298,5232,3304,430,33,648,13,796,1514,0,3741,75,673,0,16361,5518,2659,3162,5677,14,1861,539
Ecuador,ECU,2010,,156,14163,192,3,705,3126,1051,49,938,4934,310,5224,3192,413,45,609,13,767,1551,0,3904,75,644,,16791,5690,2780,3223,5796,14,1928,563
Ecuador,ECU,2011,,133,14346,188,3,664,2857,982,50,835,4921,297,5058,2907,393,34,556,13,720,1548,0,3994,74,601,0,16936,5768,2867,3252,5836,13,2009,582
Ecuador,ECU,2012,,126,15063,192,1,655,2569,1051,51,772,4927,313,5176,2754,368,52,521,13,717,1562,0,4298,73,597,0,17911,6123,3056,3359,6013,13,2113,623
Ecuador,ECU,2013,,123,15472,186,2,604,2300,1144,52,729,4743,301,5301,2656,348,37,500,13,725,1540,1,4466,72,605,1,18703,6322,3262,3426,6149,13,2216,665
Ecuador,ECU,2014,,120,15648,183,0,575,2104,1229,51,724,4629,291,5284,2512,330,20,487,13,721,1529,0,4505,71,603,,19146,6382,3391,3468,6226,13,2286,678
Ecuador,ECU,2015,,119,15717,180,1,575,1947,1187,54,718,4551,262,5176,2449,318,45,476,14,700,1539,0,4491,69,585,0,19221,6349,3399,3508,6275,12,2322,667
Ecuador,ECU,2016,,118,16294,180,3,552,1840,1220,58,711,4551,261,5263,2395,319,713,473,14,710,1569,1,4658,69,593,1,20062,6537,3527,3630,6472,12,2427,693
Ecuador,ECU,2017,,119,16808,182,2,565,1816,1223,61,722,4635,267,5388,2402,323,29,477,14,722,1619,0,4773,69,604,0,20810,6686,3634,3740,6654,12,2500,717
Ecuador,ECU,2018,,117,17279,184,2,567,1848,1218,64,730,4696,262,5439,2246,336,0,479,14,734,1645,0,4894,70,614,,21330,6839,3693,3835,6805,12,2574,736
Ecuador,ECU,2019,,118,17627,203,1,578,1907,1207,67,735,4788,263,5436,2165,349,14,484,14,734,1678,0,4951,71,616,,21464,6914,3670,3905,6908,12,2638,738
Egypt,EGY,2008,2,1138,42135,1378,0,1025,503,93,47,1087,25929,957,26708,16142,117,98,13224,49,886,2381,16,13100,175,736,0,207451,15535,18612,48127,53614,1689,5212,1732
Egypt,EGY,2009,5,1137,44866,1415,0,1051,535,93,50,1054,26837,996,26664,15121,121,2,13111,49,889,2484,10,13951,180,734,1,214374,16199,19088,49630,55290,1657,5340,1796
Egypt,EGY,2010,4,1111,46171,1447,0,1070,535,95,53,1039,27409,1017,25864,13363,125,62,12788,48,874,2593,39,14715,183,718,0,219382,16806,19409,50816,56588,1605,5464,1847
Egypt,EGY,2011,1,1115,47360,1462,0,1093,562,101,58,1029,28205,955,25786,11489,129,2,12763,48,871,2672,116,15183,186,713,28,221812,17195,19685,51945,57828,1568,5607,1898
Egypt,EGY,2014,15,925,50183,1474,0,1051,593,98,63,1145,28405,863,23910,6873,135,5,11977,49,842,2840,293,16886,183,677,343,236288,18893,20849,55221,61427,1443,5999,2053
Egypt,EGY,2015,22,925,52885,1497,0,1045,537,84,68,1081,29193,870,24920,7175,139,41,11666,157,875,2921,1125,18390,185,699,829,251445,20276,21784,57801,64205,1454,6190,2214
Egypt,EGY,2016,44,852,54414,1488,0,1006,530,70,71,1027,29058,818,23335,6306,142,54,10558,45,858,2951,484,19194,181,678,609,255662,20918,22094,59305,65758,1427,6343,2296
Egypt,EGY,1990,,2119,23605,1575,0,1544,255,56,24,1738,28020,2041,56449,28414,82,0,38120,71,1482,1949,25,6950,239,1358,21,156674,9720,15225,39203,44121,3023,3282,1045
Egypt,EGY,1991,,2224,23951,1482,0,1410,247,65,23,1658,26592,1859,53216,27318,81,1,34289,68,1426,1888,8,7035,222,1304,8,156391,9847,15172,38839,43668,2783,3363,1062
Egypt,EGY,1992,,2118,24212,1430,0,1327,236,74,24,1543,25605,1695,50221,26293,81,552,30652,65,1388,1832,62,7108,211,1269,49,155190,9910,14896,38663,43425,2529,3451,1067
Egypt,EGY,1993,,1829,25319,1455,0,1349,232,82,26,1490,26057,1658,47377,25385,84,34,27199,63,1379,1917,108,7494,214,1255,,160199,10352,15300,39272,44053,2420,3568,1124
Egypt,EGY,1994,,1748,26295,1458,0,1338,232,88,28,1458,26142,1587,44150,24199,88,600,24182,61,1326,1979,335,7799,213,1199,173,164016,10742,15642,39754,44542,2331,3684,1178
Egypt,EGY,1995,,1657,26667,1413,0,1286,241,93,28,1388,25403,1452,41276,23642,88,17,21656,91,1275,1950,365,7820,205,1150,134,162510,10808,15517,39338,44031,2217,3779,1189
Egypt,EGY,1996,,1531,27486,1396,0,1233,241,98,30,1368,24962,1455,37114,22148,91,12,19328,79,1182,2016,246,8146,200,1061,97,163709,11122,15578,39456,44104,2148,3870,1208
Egypt,EGY,1997,,1465,28493,1390,0,1192,247,103,31,1362,24931,1449,34922,21450,94,22,17949,56,1132,2070,236,8549,196,1011,165,167701,11538,15878,40152,44834,2117,3972,1254
Egypt,EGY,1998,,1465,29155,1354,0,1140,254,106,32,1327,24343,1367,33370,21008,94,0,17035,55,1100,2044,31,8812,187,978,9,170232,11876,16062,40712,45401,2072,4070,1305
Egypt,EGY,1999,,1375,30113,1340,0,1114,258,108,33,1225,24356,1295,32506,20907,96,0,16373,53,1067,2043,6,9092,182,946,1,171454,12169,16092,41259,45948,2047,4153,1336
Egypt,EGY,2000,,1317,30582,1293,0,1059,264,109,34,1080,23697,1172,30952,20615,96,2,15478,53,989,1980,2,9087,173,873,,166895,12124,15600,40904,45486,1970,4224,1316
Egypt,EGY,2001,,1296,32833,1329,0,1066,284,110,36,1093,24541,1148,30386,20184,101,1,14986,50,999,2088,4,9873,176,873,,177263,12881,16442,42823,47573,2010,4400,1418
Egypt,EGY,2002,,1259,34528,1343,0,1055,309,111,38,1122,24899,1100,29643,19595,104,25,14528,51,986,2150,23,10491,176,851,,186203,13524,17199,44520,49415,1993,4603,1521
Egypt,EGY,2003,,1239,36300,1353,0,1039,337,113,39,1141,25225,1061,29507,19354,107,2,14279,51,1007,2201,0,11154,175,862,,196452,14259,18031,46515,51576,1970,4779,1645
Egypt,EGY,2004,,1203,37419,1343,0,1012,364,114,41,1086,25066,1009,28637,19026,109,16,13774,50,968,2216,62,11505,172,823,37,197750,14493,18030,46893,51941,1893,4858,1669
Egypt,EGY,2005,,1176,38242,1371,0,997,392,116,42,1053,24965,993,27809,18825,110,6,13413,49,933,2240,130,11743,172,788,92,197027,14537,17851,46652,51646,1826,4902,1652
Egypt,EGY,2006,,1163,39646,1354,0,1004,428,118,44,1062,25392,985,27314,18351,113,2,13055,49,905,2306,24,12217,173,760,19,199763,14794,18026,46610,51771,1809,4968,1657
Egypt,EGY,2007,,1153,40485,1355,0,1011,465,104,44,1079,25408,949,27084,17566,114,4,13218,49,887,2312,0,12436,173,741,,201143,14943,18126,46823,52118,1732,5074,1670
Egypt,EGY,2012,,1102,48813,1497,0,1104,618,105,61,1079,28813,964,25436,9252,132,5,12623,48,880,2797,117,16060,189,717,44,231012,18053,20395,53786,59861,1542,5746,1989
Egypt,EGY,2013,,1082,48629,1481,0,1095,684,103,61,1149,28515,891,24760,7892,133,7,12605,49,844,2796,168,15993,187,684,243,229434,18037,20325,53648,59739,1481,5816,1964
Egypt,EGY,2017,,823,55291,1494,0,1005,522,62,76,978,29308,791,22393,5955,145,0,9808,44,826,3006,1305,19310,182,650,877,254927,20956,21957,59798,66243,1397,6469,2296
Egypt,EGY,2018,,790,56627,1492,0,988,516,56,79,926,29391,769,21788,5622,148,0,9082,43,817,3051,1520,19923,180,639,,259239,21461,22235,61156,67659,1373,6681,2366
Egypt,EGY,2019,,764,57934,1496,0,972,512,56,82,892,29490,751,21371,5336,150,0,8474,42,816,3105,682,20478,179,634,,263873,21981,22560,62635,69216,1356,6918,2439
El Salvador,SLV,1990,,221,2601,81,2,197,2403,87,7,414,1434,309,1906,2872,979,0,2469,3,438,574,1142,543,53,437,294,6256,624,1042,971,2124,5,591,101
El Salvador,SLV,1991,,212,2684,77,2,207,2463,105,8,391,1448,282,1915,2765,1020,0,2447,3,417,553,1261,575,20,415,426,6269,676,1036,976,2115,5,622,104
El Salvador,SLV,1992,,192,2857,74,2,186,2584,127,8,369,1479,267,1972,2648,1077,2,2186,3,398,543,83,641,20,397,23,6501,758,1056,1010,2154,4,658,111
El Salvador,SLV,1993,,177,3014,71,2,195,2818,153,9,346,1540,249,2036,2507,1123,22,1993,3,377,560,3,709,21,376,,6693,847,1077,1040,2171,4,696,119
El Salvador,SLV,1994,,161,3187,69,2,234,3056,184,9,321,1574,227,2112,2362,1115,0,1867,3,364,583,22,778,21,363,22,6818,954,1090,1069,2174,4,735,128
El Salvador,SLV,1995,,143,3203,65,2,264,3146,222,9,280,1528,179,2137,2239,1071,8,1682,3,341,558,4,791,20,340,3,6615,1017,1067,1066,2116,4,765,132
El Salvador,SLV,1996,,130,3339,61,1,273,3119,269,9,249,1464,162,2187,2126,980,12,1536,3,332,528,26,852,19,331,26,6511,1118,1045,1051,2049,4,803,137
El Salvador,SLV,1997,,119,3596,59,1,297,3203,326,11,229,1535,142,2263,1980,1000,11,1387,4,339,543,1,942,20,337,1,6589,1310,1051,1104,2088,5,840,149
El Salvador,SLV,1998,,113,3908,60,1,328,3248,390,10,215,1682,125,2368,1836,1058,483,1235,4,354,571,0,1054,18,353,,6971,1580,1093,1185,2167,6,880,166
El Salvador,SLV,1999,,99,3852,55,1,304,2976,460,8,178,1571,99,2234,1655,929,9,1056,4,339,520,0,1038,16,337,,6610,1663,1024,1122,2018,6,905,163
El Salvador,SLV,2000,,93,3951,54,1,301,2887,535,7,156,1598,78,2188,1501,915,8,900,5,333,515,0,1074,17,332,,6613,1855,1016,1125,1988,6,939,170
El Salvador,SLV,2001,,88,4039,51,1,283,2792,614,7,138,1538,54,2130,1343,854,1168,768,5,324,496,0,1116,15,323,,6611,1996,1024,1093,1917,6,979,175
El Salvador,SLV,2002,,73,4025,48,1,265,2729,680,6,122,1451,57,2031,1213,802,6,668,5,310,462,0,1125,14,309,,6459,2082,1005,1057,1841,6,1012,176
El Salvador,SLV,2003,,73,4201,47,1,267,2849,731,6,118,1487,59,2060,1114,836,3,594,5,314,474,0,1219,13,313,,6756,2323,1055,1091,1878,6,1055,189
El Salvador,SLV,2004,,74,4408,47,1,272,3015,759,6,116,1524,64,2110,1037,884,2,537,5,323,491,0,1342,12,321,,7091,2586,1106,1128,1924,7,1094,202
El Salvador,SLV,2005,,73,4522,47,1,271,3145,740,6,110,1503,68,2109,961,905,172,483,5,323,496,0,1431,12,322,,7233,2752,1129,1148,1936,7,1127,209
El Salvador,SLV,2006,,72,4610,46,1,266,3261,769,6,104,1482,70,2105,898,923,5,432,6,323,499,0,1507,11,322,,7355,2907,1146,1168,1948,7,1160,216
El Salvador,SLV,2007,,69,4633,44,1,251,3264,822,6,99,1385,67,2064,839,886,14,395,4,316,488,0,1554,10,315,,7381,2996,1154,1160,1927,6,1198,220
El Salvador,SLV,2008,,67,4581,42,1,238,3223,823,7,94,1279,64,2017,816,834,36,369,4,305,472,0,1563,9,304,,7325,3055,1152,1142,1892,6,1237,220
El Salvador,SLV,2009,,71,4823,43,1,247,3299,800,7,97,1299,73,2114,824,843,394,359,4,315,508,0,1710,10,314,,7803,3343,1230,1205,1986,7,1294,234
El Salvador,SLV,2010,,58,4670,67,1,230,3192,766,8,90,1169,69,1987,797,754,22,338,3,295,481,0,1671,9,294,,7525,3269,1210,1170,1925,6,1334,228
El Salvador,SLV,2011,,57,4839,40,1,231,3186,722,8,92,1172,71,2029,802,760,49,329,3,292,506,0,1783,10,291,,7845,3486,1259,1230,2009,6,1385,237
El Salvador,SLV,2012,,52,4683,37,1,199,6186,712,8,85,1032,57,1943,813,694,1,317,3,271,450,0,1752,9,269,,7551,3373,1235,1197,1955,6,1427,231
El Salvador,SLV,2013,,53,4931,38,1,203,5977,743,8,88,1059,54,2069,802,715,5,315,3,277,465,0,1913,10,276,,8124,3592,1326,1261,2056,6,1498,248
El Salvador,SLV,2014,,56,5297,41,1,228,6176,775,10,98,1208,53,2238,731,810,9,318,3,291,530,0,2103,11,290,,8896,3960,1436,1380,2235,6,1552,272
El Salvador,SLV,2015,,55,5408,42,1,233,6555,779,10,99,1248,51,2257,671,832,13,314,3,292,546,0,2139,11,291,,9073,3990,1452,1408,2280,6,1578,279
El Salvador,SLV,2016,,54,5493,42,1,225,3197,777,10,96,1251,50,2236,618,843,0,308,3,287,543,0,2150,11,286,,9087,3995,1443,1426,2303,6,1597,281
El Salvador,SLV,2017,,53,5608,41,1,220,3150,743,11,95,1259,47,2254,566,852,10,307,3,288,540,0,2176,11,287,,9273,4001,1461,1454,2350,6,1635,288
